	Spla	ClH23	HoH13	TrH2	TrH1	Auco	Clhe	Neve	Dare
Spla	0.0	0.019534405649710134	0.023711494685824636	0.020571360317217013	0.023555301720116068	0.01282076592299436	0.013633624102588504	0.018833377146122432	0.039330393954319864
ClH23	0.019534405649710134	0.0	0.0033205187722816776	0.001078495921532548	0.012755274285177346	0.008166629463596309	0.009837453122943688	0.008573319538888144	0.031221962430885413
HoH13	0.023711494685824636	0.0033205187722816776	0.0	0.002916678616195804	0.02054664861199612	0.011799507184748667	0.012042432920162513	0.01461381988094318	0.036945971165871394
TrH2	0.020571360317217013	0.001078495921532548	0.002916678616195804	0.0	0.013375146323102197	0.008541686175532784	0.009558571742893207	0.009052362041446401	0.03202226712837869
TrH1	0.023555301720116068	0.012755274285177346	0.02054664861199612	0.013375146323102197	0.0	0.010827618852607968	0.01708206666018436	0.00760009567534949	0.030057392101850693
Auco	0.01282076592299436	0.008166629463596309	0.011799507184748667	0.008541686175532784	0.010827618852607968	0.0	0.003799966819162929	0.006988230748910492	0.030103607926919834
Clhe	0.013633624102588504	0.009837453122943688	0.012042432920162513	0.009558571742893207	0.01708206666018436	0.003799966819162929	0.0	0.013342264526844227	0.038482422044624785
Neve	0.018833377146122432	0.008573319538888144	0.01461381988094318	0.009052362041446401	0.00760009567534949	0.006988230748910492	0.013342264526844227	0.0	0.017012154274423597
Dare	0.039330393954319864	0.031221962430885413	0.036945971165871394	0.03202226712837869	0.030057392101850693	0.030103607926919834	0.038482422044624785	0.017012154274423597	0.0
