"species","GO_ID","Term","Ont","GeneRatio","FoldEnrichment","pvalue","p.adjust","Count"
"Spla","GO:0016791","phosphatase activity","MF","10/123",5.31656504065041,1.79787975993e-05,0.000840233602089737,10
"Spla","GO:0007167","enzyme-linked receptor protein signaling pathway","BP","15/123",3.54437669376694,1.99932138928034e-05,0.000899677743943295,15
"Spla","GO:1903827",NA,NA,"16/123",3.36059419853458,2.00364912406585e-05,0.000899677743943295,16
"Spla","GO:0002684","positive regulation of immune system process","BP","14/123",3.73326197211815,2.17135895698063e-05,0.000956233079131856,14
"Spla","GO:0042578","phosphoric ester hydrolase activity","MF","11/123",4.60943570026833,2.58585094691154e-05,0.00111003383458884,11
"Spla","GO:0030838","positive regulation of actin filament polymerization","BP","7/123",7.93940379403794,2.67624492132987e-05,0.00111003383458884,7
"Spla","GO:0043407","negative regulation of MAP kinase activity","BP","6/123",10.0076518412243,2.72919926542221e-05,0.00111003383458884,6
"Spla","GO:0016235","aggresome","CC","5/123",13.7201678468398,2.75245477556345e-05,0.00111003383458884,5
"Spla","GO:0030054","cell junction","CC","14/123",3.65309990523218,2.76296631316874e-05,0.00111003383458884,14
"Spla","GO:0032956","regulation of actin cytoskeleton organization","BP","11/123",4.54230799589549,2.96198443879886e-05,0.00116947316635334,11
"Spla","GO:0043122","regulation of canonical NF-kappaB signal transduction","BP","7/123",7.53740866522589,3.75980531422884e-05,0.00145931426603119,7
"Spla","GO:0033627","cell adhesion mediated by integrin","BP","4/123",20.0153036824486,3.84506120618528e-05,0.00146753169369405,4
"Spla","GO:0006909","phagocytosis","BP","9/123",5.39144623840605,4.29716601371893e-05,0.00161319838875678,9
"Spla","GO:0001772","immunological synapse","CC","4/123",18.903342366757,4.89883253797667e-05,0.00175286351749478,4
"Spla","GO:0035973","aggrephagy","BP","4/123",18.903342366757,4.89883253797667e-05,0.00175286351749478,4
"Spla","GO:0098780","response to mitochondrial depolarisation","BP","4/123",18.903342366757,4.89883253797667e-05,0.00175286351749478,4
"Spla","GO:1905475","regulation of protein localization to membrane","BP","8/123",5.96947653687063,5.64457641188925e-05,0.00198862768972713,8
"Spla","GO:0071901","negative regulation of protein serine/threonine kinase activity","BP","7/123",7.00535628885701,6.04025307286763e-05,0.00209578477831316,7
"Spla","GO:0050776","regulation of immune response","BP","14/123",3.39290760428972,6.19543411047303e-05,0.00211754389746019,14
"Spla","GO:1990782","protein tyrosine kinase binding","MF","6/123",8.65068210004134,6.32456843773359e-05,0.00212989142976617,6
"Spla","GO:0032271","regulation of protein polymerization","BP","9/123",5.07010176062026,6.94702957770411e-05,0.0023056083670931,9
"Spla","GO:0032970","regulation of actin filament-based process","BP","11/123",4.1220944808567,7.18250774831808e-05,0.00234970610623549,11
"Spla","GO:0038128","ERBB2 signaling pathway","BP","4/123",17.0130081300813,7.61655278142534e-05,0.0024133207579546,4
"Spla","GO:0097225","sperm midpiece","CC","4/123",17.0130081300813,7.61655278142534e-05,0.0024133207579546,4
"Spla","GO:0110053","regulation of actin filament organization","BP","9/123",5.00382592061215,7.69311857339238e-05,0.0024133207579546,9
"Spla","GO:0042307","positive regulation of protein import into nucleus","BP","5/123",10.3737854451715,0.000110517881881273,0.0034200803987583,5
"Spla","GO:0044754","autolysosome","CC","4/123",15.4663710273466,0.000112921741670392,0.00344787717900262,4
"Spla","GO:1904591","positive regulation of protein import","BP","5/123",10.1267905536198,0.000124281649148452,0.00374480232302573,5
"Spla","GO:1902905","positive regulation of supramolecular fiber organization","BP","8/123",5.31656504065041,0.000127895870722094,0.00380365641498175,8
"Spla","GO:0032273","positive regulation of protein polymerization","BP","7/123",6.20265921409214,0.000131119751352145,0.00384954141790272,7
"Spla","GO:0030971","receptor tyrosine kinase binding","MF","5/123",9.8912837965589,0.000139321977519954,0.00403510720083047,5
"Spla","GO:1900182","positive regulation of protein localization to nucleus","BP","6/123",7.50573888091822,0.000140964443697134,0.00403510720083047,6
"Spla","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","BP","7/123",5.95455284552846,0.000169407669541746,0.00478195230779478,7
"Spla","GO:0030037",NA,NA,"3/123",25.519512195122,0.000179125267822654,0.00478195230779478,3
