term	gene
GO:0030879	Tadh-TriadG18229
GO:0032501	Tadh-TriadG18229
GO:0032502	Tadh-TriadG18229
GO:0032870	Tadh-TriadG18229
GO:0033218	Tadh-TriadG18229
GO:0035295	Tadh-TriadG18229
GO:0035556	Tadh-TriadG18229
GO:0038023	Tadh-TriadG18229
GO:0040008	Tadh-TriadG18229
GO:0042127	Tadh-TriadG18229
GO:0042221	Tadh-TriadG18229
GO:0042277	Tadh-TriadG18229
GO:0042562	Tadh-TriadG18229
GO:0042981	Tadh-TriadG18229
GO:0043062	Tadh-TriadG18229
GO:0043066	Tadh-TriadG18229
GO:0043067	Tadh-TriadG18229
GO:0043069	Tadh-TriadG18229
GO:0044703	Tadh-TriadG18229
GO:0044706	Tadh-TriadG18229
GO:0045137	Tadh-TriadG18229
GO:0045926	Tadh-TriadG18229
GO:0046546	Tadh-TriadG18229
GO:0046661	Tadh-TriadG18229
GO:0048468	Tadh-TriadG18229
GO:0048469	Tadh-TriadG18229
GO:0048477	Tadh-TriadG18229
GO:0048513	Tadh-TriadG18229
GO:0048518	Tadh-TriadG18229
GO:0048519	Tadh-TriadG18229
GO:0048522	Tadh-TriadG18229
GO:0048523	Tadh-TriadG18229
GO:0048580	Tadh-TriadG18229
GO:0048581	Tadh-TriadG18229
GO:0048583	Tadh-TriadG18229
GO:0048584	Tadh-TriadG18229
GO:0048599	Tadh-TriadG18229
GO:0048608	Tadh-TriadG18229
GO:0048609	Tadh-TriadG18229
GO:0048638	Tadh-TriadG18229
GO:0048640	Tadh-TriadG18229
GO:0048731	Tadh-TriadG18229
GO:0048732	Tadh-TriadG18229
GO:0048856	Tadh-TriadG18229
GO:0048869	Tadh-TriadG18229
GO:0050789	Tadh-TriadG18229
GO:0050790	Tadh-TriadG18229
GO:0050793	Tadh-TriadG18229
GO:0050794	Tadh-TriadG18229
GO:0050896	Tadh-TriadG18229
GO:0051093	Tadh-TriadG18229
GO:0051239	Tadh-TriadG18229
GO:0051241	Tadh-TriadG18229
GO:0051716	Tadh-TriadG18229
GO:0060089	Tadh-TriadG18229
GO:0060427	Tadh-TriadG18229
GO:0060541	Tadh-TriadG18229
GO:0060618	Tadh-TriadG18229
GO:0060658	Tadh-TriadG18229
GO:0061448	Tadh-TriadG18229
GO:0061458	Tadh-TriadG18229
GO:0065007	Tadh-TriadG18229
GO:0065009	Tadh-TriadG18229
GO:0070887	Tadh-TriadG18229
GO:0071495	Tadh-TriadG18229
GO:0071695	Tadh-TriadG18229
GO:0071840	Tadh-TriadG18229
GO:0071944	Tadh-TriadG18229
GO:0106023	Tadh-TriadG18229
GO:0106024	Tadh-TriadG18229
GO:1902531	Tadh-TriadG18229
GO:1902533	Tadh-TriadG18229
GO:2000026	Tadh-TriadG18229
GO:0003674	Tadh-TriadG51263
GO:0003824	Tadh-TriadG51263
GO:0004175	Tadh-TriadG51263
GO:0004222	Tadh-TriadG51263
GO:0005575	Tadh-TriadG51263
GO:0005622	Tadh-TriadG51263
GO:0005737	Tadh-TriadG51263
GO:0005739	Tadh-TriadG51263
GO:0005759	Tadh-TriadG51263
GO:0006508	Tadh-TriadG51263
GO:0006518	Tadh-TriadG51263
GO:0006605	Tadh-TriadG51263
GO:0006626	Tadh-TriadG51263
GO:0006627	Tadh-TriadG51263
GO:0006810	Tadh-TriadG51263
GO:0006839	Tadh-TriadG51263
GO:0006886	Tadh-TriadG51263
GO:0006996	Tadh-TriadG51263
GO:0007005	Tadh-TriadG51263
GO:0008104	Tadh-TriadG51263
GO:0008150	Tadh-TriadG51263
GO:0008152	Tadh-TriadG51263
GO:0008233	Tadh-TriadG51263
GO:0008237	Tadh-TriadG51263
GO:0009987	Tadh-TriadG51263
GO:0010467	Tadh-TriadG51263
GO:0015031	Tadh-TriadG51263
GO:0015833	Tadh-TriadG51263
GO:0016043	Tadh-TriadG51263
GO:0016485	Tadh-TriadG51263
GO:0016787	Tadh-TriadG51263
GO:0019538	Tadh-TriadG51263
GO:0031974	Tadh-TriadG51263
GO:0033036	Tadh-TriadG51263
GO:0033365	Tadh-TriadG51263
GO:0034982	Tadh-TriadG51263
GO:0042886	Tadh-TriadG51263
GO:0043170	Tadh-TriadG51263
GO:0043226	Tadh-TriadG51263
GO:0043227	Tadh-TriadG51263
GO:0043229	Tadh-TriadG51263
GO:0043231	Tadh-TriadG51263
GO:0043233	Tadh-TriadG51263
GO:0043603	Tadh-TriadG51263
GO:0044238	Tadh-TriadG51263
