CellName,UMAP_1,UMAP_2
1_CELL1_N3,-0.171089875747527,0.317934033245271
1_CELL2_N2,-6.56483252276954,-4.30553615394192
1_CELL6_N3,-7.77620823611792,-0.434164631396109
1_CELL7_N2,0.31334437499467,0.520354327530092
1_CELL8_N3,-4.24337752093848,-2.9355891973074
1_CELL10_N2,0.0673408515256984,0.272586700290865
1_CELL11_N2,-4.58106787433204,-0.322832870512778
1_CELL15_N2,-0.0700869590538399,2.63309609589023
1_CELL17_N2,8.82156245480004,0.201768097252077
1_CELL19_N2,-1.48221392859992,9.06235754188937
1_CELL20_N3,-7.65918476810035,1.90144788917941
1_CELL23_N4,-0.0956267484026806,-8.01297080817776
1_CELL25_N3,-0.053795117189254,-5.83485830131131
1_CELL29_N4,-7.55442745914039,1.86389386352939
1_CELL31_N2,-4.85630400409278,1.20523702797336
1_CELL32_N2,-2.12163622607764,0.653481540054506
1_CELL33_N3,-5.47781594028052,2.20993601974887
1_CELL37_N4,-5.59699709643897,1.53724169430179
1_CELL38_N3,9.68657080898705,-0.319698709278876
1_CELL41_N1,-7.76343541996349e-05,0.0757237344686448
1_CELL44_N2,8.07384364376489,0.791744467586702
1_CELL46_N2,-5.03691323031958,1.74907600578708
1_CELL47_N5,-1.57636721362647,6.32290804085178
1_CELL48_N2,-1.70124454726752,8.47282945808811
1_CELL52_N4,-4.57549603213843,0.988873121113008
1_CELL56_N3,-1.51889271964606,-0.0741132974918426
1_CELL60_N4,-1.45012386073646,1.7286957472269
1_CELL61_N3,-2.43610723247107,0.972494479984468
1_CELL62_N3,-3.00086767901954,2.99973737892551
1_CELL63_N3,-1.3429307483631,8.3139225214426
1_CELL69_N2,-7.02931053866919,3.9279624193613
1_CELL72_N2,0.268697784046565,0.283589270681566
1_CELL74_N4,-1.18168301810798,-0.0438077777917922
1_CELL76_N2,-6.03564007510718,1.07758152183933
1_CELL77_N2,-1.82486064662513,2.209078904957
1_CELL78_N2,-4.89568741550025,-1.02681374850827
1_CELL82_N3,-0.471220269103612,-9.46354806724148
1_CELL85_N2,-2.2233098291355,-5.41161620917874
1_CELL88_N3,3.22062532673303,-5.36793792548733
1_CELL89_N2,7.42567698727075,1.24083351787967
1_CELL90_N3,-6.12522633304175,1.32183050808353
1_CELL91_N3,-6.99395544757422,3.32804214653415
1_CELL92_N2,4.54078833828393,0.284779426426119
1_CELL100_N4,-1.8786711238819,3.47207534012241
1_CELL101_N4,-1.52944655646857,6.91556036171359
1_CELL102_N3,-1.56280882587012,3.64931142029209
1_CELL103_N4,-0.137368439932431,0.186121103138155
1_CELL105_N1,0.26901488075677,1.20077001747531
1_CELL108_N4,-2.9093347333866,2.14257895645542
1_CELL116_N3,-7.1415661119419,0.141665962309068
1_CELL117_N2,-1.54003818263587,7.59098159965915
1_CELL121_N4,-2.79816229571875,8.22942030128879
1_CELL124_N3,-5.91723425616797,-1.6039630204733
1_CELL125_N2,-5.62287171115455,0.513882812828249
1_CELL126_N3,-1.41502471198615,2.73731815514011
1_CELL127_N2,-7.14593918551978,2.27393638786716
1_CELL132_N4,-1.71974559058722,-0.0154413760002196
1_CELL135_N2,-1.88355262507972,3.42513644394321
1_CELL136_N2,-2.62535174121436,0.0002802133266388
1_CELL137_N5,4.34341733227197,-7.26874149146634
1_CELL140_N3,-6.70669729938086,-1.29941857162076
1_CELL141_N3,-8.11093266238746,0.20066800412578
1_CELL142_N4,0.207897440294657,-5.723209741741
1_CELL143_N4,-2.15672667254981,0.844941374630159
1_CELL145_N2,-2.4625619195896,-1.98226595225888
1_CELL146_N2,-1.05810417165336,2.83229386505527
1_CELL148_N2,5.10990731487695,-8.05450713935452
1_CELL151_N2,4.70783965359155,11.1012359827463
1_CELL159_N2,0.42169176111642,-0.115406411915594
1_CELL161_N2,12.0128647542996,-1.5450326234396
1_CELL162_N2,-8.60284264316138,0.575137850612825
1_CELL167_N2,4.54547898540917,-6.12632882896023
1_CELL168_N1,12.8547341085476,-1.36799502673703
1_CELL171_N2,6.76662032375756,-4.24269378486233
1_CELL173_N3,-2.31225927104529,3.55527460274143
1_CELL175_N3,-4.58634550799903,-0.510292652278715
1_CELL178_N4,-1.54858656158027,0.769951996177858
1_CELL179_N3,-7.75421030749854,1.51553189453525
1_CELL180_N3,-3.84450609912452,-3.6514312058981
1_CELL181_N4,6.70833031902734,1.27499830421848
