CellName,UMAP_1,UMAP_2
379-0-6,8.478127,-3.316166
380-0-6,6.7790203,-1.6524442
384-0-6,15.627407,0.13201112
385-0-6,11.551355,-3.5528824
386-0-6,11.812026,-4.701536
390-0-6,6.2979364,2.0313756
391-0-6,17.60875,4.995386
396-0-6,-3.810779,4.258901
397-0-6,10.489348,-4.654078
398-0-6,10.300339,-2.6648667
402-0-6,7.876625,-1.525496
403-0-6,8.296736,9.173024
404-0-6,9.501001,-2.3589795
408-0-6,9.077666,-4.0989738
409-0-6,9.363566,-1.9973261
414-0-6,5.156677,5.4494762
415-0-6,9.248135,-3.372318
416-0-6,9.190773,-5.0563254
420-0-6,-4.69039,4.189326
421-0-6,16.030956,4.699348
422-0-6,11.670034,-4.3849387
426-0-6,10.192452,-5.135675
427-0-6,4.7471576,5.710601
428-0-6,9.483007,3.2187815
432-0-6,8.07808,-2.4334104
433-0-6,10.333198,2.8857918
434-0-6,4.6314836,1.1502118
438-0-6,-3.0431461,3.0905373
439-0-6,11.411072,-3.8042145
440-0-6,11.179545,-4.5833387
444-0-6,9.358249,1.4089929
445-0-6,10.804646,-5.53638
446-0-6,9.155838,-4.895721
450-0-6,9.380778,-2.3004284
451-0-6,8.757343,7.3302717
452-0-6,12.047242,-4.1783185
456-0-6,7.8564925,-1.1343136
457-0-6,11.826046,-5.012629
458-0-6,8.2428,-2.4086916
462-0-6,10.083522,1.3116248
463-0-6,9.6811,0.48055294
464-0-6,9.376941,-5.3383603
468-0-6,6.7428946,4.5610743
469-0-6,11.993702,-0.65558493
470-0-6,9.024152,-3.8174758
474-0-6,-3.943598,4.1365113
475-0-6,10.877185,-4.759212
476-0-6,16.690233,2.5691466
480-0-6,8.083438,-1.0712751
481-0-6,5.485334,3.0402539
482-0-6,9.363222,7.8329144
486-0-6,8.799956,14.438173
487-0-6,7.5048757,5.4344487
488-0-6,10.322974,-4.668885
492-0-6,17.466043,1.529843
493-0-6,3.8547719,-0.08361209
494-0-6,6.173349,2.949395
498-0-6,-2.3518472,4.360807
499-0-6,9.226165,-2.6907086
500-0-6,9.317881,-3.5300655
504-0-6,8.077492,-0.26397285
505-0-6,8.954628,-3.8526146
506-0-6,9.706445,-4.400035
510-0-6,-3.8760865,4.5142107
511-0-6,8.999653,-4.2416186
512-0-6,8.016209,-2.7334216
516-0-6,-3.5428581,4.403027
517-0-6,6.185561,5.3698363
518-0-6,13.713866,11.684248
522-0-6,12.847982,1.6002275
523-0-6,6.586858,2.76324
524-0-6,8.840693,-3.1845465
528-0-6,8.788167,14.573119
529-0-6,10.957306,-4.400033
530-0-6,8.579206,-4.4234347
534-0-6,10.835391,-5.265436
535-0-6,11.519569,-4.197622
536-0-6,15.81744,-2.998525
540-0-6,-3.3745139,3.5638485
541-0-6,10.585772,-4.4418178
542-0-6,11.271765,-0.18793587
546-0-6,-4.4073873,3.220761
547-0-6,10.958386,-5.43454
548-0-6,8.427326,7.7701516
552-0-6,10.639404,-4.2507463
553-0-6,7.7025223,-3.435708
554-0-6,16.540426,-1.6367273
558-0-6,-3.8597164,4.234783
559-0-6,8.741024,0.35276303
560-0-6,9.539503,-2.065713
564-0-6,1.9625705,1.6519485
565-0-6,5.4426208,7.0341687
566-0-6,9.54813,-3.330032
570-0-6,-3.2457561,3.1118338
571-0-6,8.040938,-3.5359068
572-0-6,9.790195,-4.5455875
576-0-6,8.827859,-3.0181503
577-0-6,11.324026,-5.7272377
578-0-6,16.369482,-2.2200887
582-0-6,8.427839,-2.5560508
583-0-6,12.047044,-5.138469
584-0-6,9.218411,-3.9130225
588-0-6,-3.1283534,4.6907806
589-0-6,5.004019,5.5061393
590-0-6,15.565147,12.303321
594-0-6,9.329126,0.07906334
595-0-6,2.914856,-1.9933798
596-0-6,8.462042,-2.7113647
600-0-6,-3.2609625,5.0064297
601-0-6,8.180768,-3.8345118
602-0-6,15.715417,12.321013
606-0-6,10.289482,-5.469366
607-0-6,10.363435,-4.2256675
608-0-6,8.973209,-4.3594193
612-0-6,8.976814,-0.44743484
613-0-6,7.932228,-2.782907
614-0-6,2.7966628,-1.2968469
618-0-6,-3.9566584,4.55455
619-0-6,9.836056,-4.0407286
620-0-6,18.608097,-0.7330184
624-0-6,18.689915,6.1866374
625-0-6,10.731091,-5.404443
626-0-6,8.212486,-3.9581983
630-0-6,-3.1902816,2.8666003
631-0-6,3.2375882,2.0320046
632-0-6,8.207313,-3.7394285
636-0-6,7.8694496,-2.2834728
637-0-6,2.593379,-1.6605511
638-0-6,6.662038,-1.5338418
642-0-6,9.442921,-0.90898514
643-0-6,16.518179,5.742015
644-0-6,14.169092,11.737666
648-0-6,3.2489536,0.19746076
649-0-6,7.9518867,-2.9704146
650-0-6,0.6189169,-10.327853
654-0-6,12.124255,0.84512275
655-0-6,8.8063755,-4.420628
656-0-6,14.7815075,12.06491
660-0-6,18.491388,6.7881556
661-0-6,8.930286,-2.6417515
662-0-6,8.622551,-3.8257856
666-0-6,10.581109,-4.4331446
667-0-6,8.9568815,-5.009376
668-0-6,10.116974,-3.3098087
672-0-6,5.8442087,5.516549
673-0-6,9.850717,-1.7138464
674-0-6,9.205575,-2.4082062
678-0-6,17.809261,6.9177876
679-0-6,6.6131496,4.336948
684-0-6,9.150456,-1.9551371
685-0-6,9.711141,-5.7628164
686-0-6,10.840894,-4.3158507
690-0-6,8.701484,1.1914451
691-0-6,5.333995,5.547624
692-0-6,8.935913,-5.0406857
696-0-6,-4.749954,3.9034076
697-0-6,9.292741,-3.6379204
698-0-6,13.055339,-4.0633774
702-0-6,17.668123,4.9238524
703-0-6,9.703677,-3.4662569
704-0-6,8.499276,-4.8050146
708-0-6,5.838697,6.183491
709-0-6,8.260389,-3.0281217
714-0-6,8.050422,-0.017606005
715-0-6,8.471192,-3.5619657
716-0-6,11.883628,-4.41798
720-0-6,4.920403,5.467957
721-0-6,9.677385,-3.9969406
722-0-6,8.94654,-4.61501
726-0-6,3.5836267,-0.75745755
727-0-6,9.184996,-4.3303905
728-0-6,16.224016,-2.8059902
732-0-6,8.472569,-2.6911178
733-0-6,5.4216013,7.216157
734-0-6,9.690709,-5.5072093
738-0-6,8.6896,-4.4945
739-0-6,7.7094784,-2.565024
740-0-6,12.733247,-5.4020276
744-0-6,-4.5273914,3.734995
745-0-6,10.195895,-4.534069
746-0-6,15.921599,0.042467725
750-0-6,9.4132,0.69117516
751-0-6,8.439524,-3.2495263
752-0-6,10.091082,-4.3590193
756-0-6,6.189934,2.3382587
757-0-6,8.717523,-0.5886053
758-0-6,8.422142,-3.1198988
762-0-6,8.12178,-0.63172907
763-0-6,18.80486,5.6227627
764-0-6,9.498723,-4.04063
768-0-6,9.244726,-3.7573564
769-0-6,8.061466,-2.412253
774-0-6,8.786644,14.748733
775-0-6,10.784594,-4.1033273
776-0-6,10.66629,-5.3817945
780-0-6,-4.5141397,4.489167
781-0-6,10.912113,-4.210977
786-0-6,9.74295,-4.627172
787-0-6,5.4151535,5.460358
788-0-6,16.662401,0.83268756
792-0-6,5.5100846,2.481999
793-0-6,11.719694,-4.521572
794-0-6,11.128949,-5.8763804
798-0-6,8.566546,-2.492724
799-0-6,8.726553,-2.6035624
800-0-6,16.815592,2.3491638
804-0-6,7.857028,-0.8194693
805-0-6,8.342412,-2.186138
806-0-6,9.689418,-4.4624
810-0-6,18.479021,7.175225
811-0-6,8.688528,-3.7437222
812-0-6,9.87045,-3.9238534
816-0-6,7.405266,-0.18893093
817-0-6,9.412646,-3.8952575
818-0-6,9.745352,-3.6182203
822-0-6,7.012128,4.2845774
823-0-6,8.364452,-2.7062905
824-0-6,8.717783,-1.6920422
828-0-6,5.894182,0.1065877
830-0-6,9.940819,-3.960626
834-0-6,3.647394,1.1840031
835-0-6,9.852879,0.2790747
836-0-6,7.8146267,-2.6630633
840-0-6,18.703821,6.594623
841-0-6,7.9735107,-1.1784446
846-0-6,5.883518,2.9978306
847-0-6,2.8608449,-0.37488455
848-0-6,15.544853,-0.750926
852-0-6,7.9827724,-3.040097
853-0-6,10.587393,-3.6585937
854-0-6,11.641134,-4.914568
858-0-6,-3.067828,2.8258452
859-0-6,8.091798,-4.670874
860-0-6,10.084452,1.9230058
864-0-6,18.856684,6.450912
865-0-6,8.549897,-5.3676896
866-0-6,16.168528,-1.8349855
870-0-6,-4.2995687,4.1857185
871-0-6,8.076723,-3.9679508
872-0-6,8.162415,-4.428782
876-0-6,-4.4905343,3.829884
877-0-6,14.2712145,1.2830485
878-0-6,9.280614,-5.456569
882-0-6,10.839726,-5.7396626
883-0-6,19.051403,0.73343205
884-0-6,10.55638,-3.807273
888-0-6,12.619422,-3.6209052
889-0-6,8.183916,-4.992142
890-0-6,9.442895,-6.0037794
894-0-6,-4.6905894,3.6518676
895-0-6,5.951135,6.537638
896-0-6,9.624315,3.0977533
900-0-6,3.1279535,-1.1406837
901-0-6,12.919137,-4.378451
902-0-6,9.115732,-1.4123312
906-0-6,14.644326,12.23619
907-0-6,12.033751,-4.678581
908-0-6,13.037007,-4.0745163
912-0-6,3.260041,1.6064473
913-0-6,5.252083,6.4612064
914-0-6,8.907984,-4.3714905
918-0-6,8.688786,-0.71611786
919-0-6,6.8139453,5.847297
920-0-6,11.655847,-5.0155816
924-0-6,7.552881,-0.8046464
925-0-6,5.270144,2.1331882
926-0-6,12.121464,-1.8002863
930-0-6,10.61975,-4.180093
931-0-6,8.778443,-4.2862153
932-0-6,9.252757,-5.2657156
936-0-6,10.795582,-5.171725
937-0-6,17.208782,2.3971527
938-0-6,9.310259,-2.055912
942-0-6,3.6498463,-0.61015594
943-0-6,3.588315,2.464996
944-0-6,8.13188,-3.2941678
948-0-6,5.6908674,5.3048224
949-0-6,11.503068,-4.4361954
950-0-6,11.660996,-5.3641167
954-0-6,8.36285,-0.77909994
955-0-6,16.922176,4.834589
956-0-6,16.07339,-2.6124537
960-0-6,10.551489,-5.4569454
961-0-6,8.734428,-2.2068431
962-0-6,3.463354,1.7272658
966-0-6,12.8388,1.1063904
