CellName,broad_cell_type,CellTypes
1280-14-6,Neural Mid,Dare_Neural Mid
1281-14-6,Neural Posterior,Dare_Neural Posterior
1282-14-6,Neural Posterior,Dare_Neural Posterior
1290-14-6,Neural Posterior,Dare_Neural Posterior
1291-14-6,Neural Anterior,Dare_Neural Anterior
1292-14-6,Neural Posterior,Dare_Neural Posterior
1293-14-6,Neural Posterior,Dare_Neural Posterior
1294-14-6,Neural Mid,Dare_Neural Mid
1295-14-6,Neural Mid,Dare_Neural Mid
1296-14-6,Neural Anterior,Dare_Neural Anterior
1297-14-6,Neural Mid,Dare_Neural Mid
1305-14-6,Epidermal,Dare_Epidermal
1306-14-6,Neural Crest,Dare_Neural Crest
1307-14-6,Neural Mid,Dare_Neural Mid
1308-14-6,Neural Anterior,Dare_Neural Anterior
1309-14-6,Neural Posterior,Dare_Neural Posterior
1310-14-6,Neural Posterior,Dare_Neural Posterior
1311-14-6,Mesoderm,Dare_Mesoderm
1312-14-6,Mesoderm,Dare_Mesoderm
1320-14-6,Epidermal,Dare_Epidermal
1321-14-6,Mesoderm,Dare_Mesoderm
1322-14-6,Neural Mid,Dare_Neural Mid
1323-14-6,Neural Posterior,Dare_Neural Posterior
1324-14-6,Neural Posterior,Dare_Neural Posterior
1325-14-6,Mesoderm,Dare_Mesoderm
1326-14-6,Neural Posterior,Dare_Neural Posterior
1327-14-6,Neural Mid,Dare_Neural Mid
1335-14-6,Mesoderm,Dare_Mesoderm
1336-14-6,Neural Anterior,Dare_Neural Anterior
1337-14-6,Neural Posterior,Dare_Neural Posterior
1338-14-6,Neural Posterior,Dare_Neural Posterior
1339-14-6,Neural Posterior,Dare_Neural Posterior
1340-14-6,Mesoderm,Dare_Mesoderm
1341-14-6,Neural Posterior,Dare_Neural Posterior
1342-14-6,Neural Posterior,Dare_Neural Posterior
1350-14-6,Neural Posterior,Dare_Neural Posterior
1351-14-6,Neural Posterior,Dare_Neural Posterior
1352-14-6,Neural Anterior,Dare_Neural Anterior
1353-14-6,Neural Posterior,Dare_Neural Posterior
1354-14-6,Neural Posterior,Dare_Neural Posterior
1355-14-6,Neural Posterior,Dare_Neural Posterior
1356-14-6,Neural Posterior,Dare_Neural Posterior
1357-14-6,Mesoderm,Dare_Mesoderm
1365-14-6,Mesoderm,Dare_Mesoderm
1366-14-6,Neural Anterior,Dare_Neural Anterior
1367-14-6,Neural Anterior,Dare_Neural Anterior
1368-14-6,Neural Crest,Dare_Neural Crest
1369-14-6,Neural Anterior,Dare_Neural Anterior
