CellName,broad_cell_type,CellTypes
2508-14-6,Mesoderm,Dare_Mesoderm
2509-14-6,Neural Posterior,Dare_Neural Posterior
2510-14-6,Neural Anterior,Dare_Neural Anterior
2511-14-6,Mesoderm,Dare_Mesoderm
2512-14-6,Epidermal,Dare_Epidermal
2520-14-6,Neural Anterior,Dare_Neural Anterior
2521-14-6,Neural Posterior,Dare_Neural Posterior
2522-14-6,Neural Posterior,Dare_Neural Posterior
2523-14-6,Mesoderm,Dare_Mesoderm
2524-14-6,Epidermal,Dare_Epidermal
2525-14-6,Neural Mid,Dare_Neural Mid
2526-14-6,Neural Posterior,Dare_Neural Posterior
2527-14-6,Neural Posterior,Dare_Neural Posterior
2535-14-6,Mesoderm,Dare_Mesoderm
2536-14-6,Neural Posterior,Dare_Neural Posterior
2537-14-6,Neural Mid,Dare_Neural Mid
2538-14-6,Neural Posterior,Dare_Neural Posterior
2539-14-6,Mesoderm,Dare_Mesoderm
2540-14-6,Neural Posterior,Dare_Neural Posterior
2541-14-6,Neural Posterior,Dare_Neural Posterior
2542-14-6,Neural Anterior,Dare_Neural Anterior
2550-14-6,Mesoderm,Dare_Mesoderm
2551-14-6,Neural Posterior,Dare_Neural Posterior
2552-14-6,Mesoderm,Dare_Mesoderm
2553-14-6,Neural Posterior,Dare_Neural Posterior
2554-14-6,Mesoderm,Dare_Mesoderm
2555-14-6,Neural Mid,Dare_Neural Mid
2556-14-6,Neural Posterior,Dare_Neural Posterior
2557-14-6,Neural Mid,Dare_Neural Mid
2565-14-6,Epidermal,Dare_Epidermal
2566-14-6,Mesoderm,Dare_Mesoderm
2567-14-6,Neural Anterior,Dare_Neural Anterior
2568-14-6,Neural Posterior,Dare_Neural Posterior
2569-14-6,Neural Posterior,Dare_Neural Posterior
2570-14-6,Mesoderm,Dare_Mesoderm
2571-14-6,Mesoderm,Dare_Mesoderm
2572-14-6,Neural Posterior,Dare_Neural Posterior
2580-14-6,Epidermal,Dare_Epidermal
2581-14-6,Neural Anterior,Dare_Neural Anterior
2582-14-6,Mesoderm,Dare_Mesoderm
2583-14-6,Mesoderm,Dare_Mesoderm
2584-14-6,Neural Mid,Dare_Neural Mid
2585-14-6,Neural Posterior,Dare_Neural Posterior
2586-14-6,Neural Posterior,Dare_Neural Posterior
2587-14-6,Neural Posterior,Dare_Neural Posterior
2595-14-6,Neural Anterior,Dare_Neural Anterior
2596-14-6,Endoderm,Dare_Endoderm
2597-14-6,Mesoderm,Dare_Mesoderm
2598-14-6,Neural Mid,Dare_Neural Mid
2599-14-6,Neural Posterior,Dare_Neural Posterior
2600-14-6,Neural Anterior,Dare_Neural Anterior
2601-14-6,Neural Posterior,Dare_Neural Posterior
2610-14-6,Epidermal,Dare_Epidermal
2611-14-6,Neural Crest,Dare_Neural Crest
2612-14-6,Neural Anterior,Dare_Neural Anterior
2613-14-6,Neural Posterior,Dare_Neural Posterior
2614-14-6,Neural Anterior,Dare_Neural Anterior
2615-14-6,Neural Posterior,Dare_Neural Posterior
2616-14-6,Neural Posterior,Dare_Neural Posterior
2625-14-6,Epidermal,Dare_Epidermal
2626-14-6,Endoderm,Dare_Endoderm
2627-14-6,Epidermal,Dare_Epidermal
2628-14-6,Neural Mid,Dare_Neural Mid
2629-14-6,Mesoderm,Dare_Mesoderm
2630-14-6,Neural Mid,Dare_Neural Mid
2631-14-6,Neural Anterior,Dare_Neural Anterior
2632-14-6,Neural Anterior,Dare_Neural Anterior
2640-14-6,Mesoderm,Dare_Mesoderm
2641-14-6,Mesoderm,Dare_Mesoderm
2642-14-6,Epidermal,Dare_Epidermal
2643-14-6,Neural Anterior,Dare_Neural Anterior
2644-14-6,Neural Mid,Dare_Neural Mid
2645-14-6,Neural Crest,Dare_Neural Crest
2646-14-6,Neural Posterior,Dare_Neural Posterior
2647-14-6,Neural Mid,Dare_Neural Mid
2655-14-6,Epidermal,Dare_Epidermal
2656-14-6,Epidermal,Dare_Epidermal
2657-14-6,Neural Posterior,Dare_Neural Posterior
2658-14-6,Neural Posterior,Dare_Neural Posterior
2659-14-6,Mesoderm,Dare_Mesoderm
2660-14-6,Neural Anterior,Dare_Neural Anterior
2661-14-6,Neural Posterior,Dare_Neural Posterior
2670-14-6,Neural Anterior,Dare_Neural Anterior
2671-14-6,Neural Anterior,Dare_Neural Anterior
2672-14-6,Epidermal,Dare_Epidermal
2673-14-6,Neural Anterior,Dare_Neural Anterior
2674-14-6,Neural Posterior,Dare_Neural Posterior
2675-14-6,Neural Posterior,Dare_Neural Posterior
2676-14-6,Neural Posterior,Dare_Neural Posterior
2685-14-6,Neural Anterior,Dare_Neural Anterior
2686-14-6,Neural Anterior,Dare_Neural Anterior
2687-14-6,Neural Posterior,Dare_Neural Posterior
2688-14-6,Neural Anterior,Dare_Neural Anterior
2689-14-6,Neural Mid,Dare_Neural Mid
2690-14-6,Neural Mid,Dare_Neural Mid
2691-14-6,Neural Posterior,Dare_Neural Posterior
2692-14-6,Neural Posterior,Dare_Neural Posterior
2700-14-6,Neural Crest,Dare_Neural Crest
2701-14-6,Neural Anterior,Dare_Neural Anterior
2702-14-6,Neural Crest,Dare_Neural Crest
2703-14-6,Neural Mid,Dare_Neural Mid
2704-14-6,Neural Posterior,Dare_Neural Posterior
2705-14-6,Neural Mid,Dare_Neural Mid
2706-14-6,Mesoderm,Dare_Mesoderm
2715-14-6,Mesoderm,Dare_Mesoderm
2716-14-6,Neural Crest,Dare_Neural Crest
2717-14-6,Neural Posterior,Dare_Neural Posterior
2718-14-6,Neural Posterior,Dare_Neural Posterior
2719-14-6,Neural Posterior,Dare_Neural Posterior
2720-14-6,Endoderm,Dare_Endoderm
2721-14-6,Neural Mid,Dare_Neural Mid
2722-14-6,Neural Posterior,Dare_Neural Posterior
2730-14-6,Neural Anterior,Dare_Neural Anterior
2731-14-6,Mesoderm,Dare_Mesoderm
2732-14-6,Neural Posterior,Dare_Neural Posterior
2733-14-6,Neural Posterior,Dare_Neural Posterior
2734-14-6,Neural Posterior,Dare_Neural Posterior
2735-14-6,Neural Posterior,Dare_Neural Posterior
2736-14-6,Neural Posterior,Dare_Neural Posterior
2737-14-6,Mesoderm,Dare_Mesoderm
2745-14-6,Epidermal,Dare_Epidermal
2746-14-6,Neural Posterior,Dare_Neural Posterior
2747-14-6,Mesoderm,Dare_Mesoderm
2748-14-6,Mesoderm,Dare_Mesoderm
