"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.67098704606293e-07,0.781846044863415,0.019,0.011,0.00616266162295658,"Auco_NE, Neural cell","OG0001922"
5.71819140467277e-07,3.17294014891402,0.002,0,0.00621395859945789,"Auco_NE, Neural cell","XLOC-003781#XLOC-003781"
5.93988323207649e-07,0.626436993521902,0.04,0.027,0.00645487110829752,"Auco_NE, Neural cell","OG0004694"
6.43314002498195e-07,0.578182527934644,0.059,0.043,0.00699089326514789,"Auco_NE, Neural cell","OG0005836"
6.51245314738951e-07,0.855923867203648,0.03,0.019,0.00707708283526818,"Auco_NE, Neural cell","OG0007307"
6.64846001229114e-07,0.459064830328185,0.082,0.063,0.00722488149535679,"Auco_NE, Neural cell","OG0001371"
6.67445314044018e-07,0.373991459848795,0.117,0.094,0.00725312822771635,"Auco_NE, Neural cell","OG0005289"
6.71438797394297e-07,0.567047461861865,0.079,0.06,0.00729652541128383,"Auco_NE, Neural cell","OG0000333"
6.71955774981267e-07,0.643967748907523,0.065,0.048,0.00730214340672142,"Auco_NE, Neural cell","OG0001419"
6.86170984975488e-07,0.38075877387357,0.242,0.212,0.00745662009372863,"Auco_NE, Neural cell","OG0001863"
6.98266562730388e-07,0.6879764433399,0.036,0.024,0.00758806273719112,"Auco_NE, Neural cell","OG0002987"
7.01398372663899e-07,0.423668306836168,0.124,0.101,0.00762209611573859,"Auco_NE, Neural cell","OG0001510"
7.37645218162024e-07,0.956430891021076,0.02,0.011,0.00801599058576672,"Auco_NE, Neural cell","OG0003014"
7.50386252596291e-07,1.42142265393642,0.007,0.002,0.00815444740696389,"Auco_NE, Neural cell","XLOC-016411#ACH92-ONCMY#Q68RJ7"
7.61922298830293e-07,0.811529939889675,0.027,0.016,0.0082798096213888,"Auco_NE, Neural cell","OG0003949"
7.82334184846498e-07,0.774453959814901,0.174,0.148,0.00850162558672689,"Auco_NE, Neural cell","OG0000003"
7.90019950010407e-07,0.544174392664125,0.086,0.066,0.00858514679676309,"Auco_NE, Neural cell","OG0002628"
8.07199134794119e-07,0.547384622108166,0.092,0.072,0.00877183299780769,"Auco_NE, Neural cell","OG0004929"
8.34670156344871e-07,0.31514661248835,0.184,0.157,0.00907036058899972,"Auco_NE, Neural cell","OG0000702"
8.37739784382724e-07,0.473766124202466,0.448,0.416,0.00910371823688706,"Auco_NE, Neural cell","OG0000125"
8.56775285720369e-07,1.37222668246093,0.011,0.005,0.00931057702992325,"Auco_NE, Neural cell","OG0003869"
8.82219616426918e-07,0.961888589905706,0.02,0.011,0.00958708057171132,"Auco_NE, Neural cell","OG0002719"
8.99877934446826e-07,1.45688294917752,0.006,0.002,0.00977897351363366,"Auco_NE, Neural cell","OG0013183"
8.9998207773999e-07,0.608224940981352,0.072,0.055,0.00978010523880047,"Auco_NE, Neural cell","OG0006477"
9.12622823605747e-07,0.144184728058601,0.732,0.731,0.00991747222412365,"Auco_NE, Neural cell","OG0005884"
9.17859771559313e-07,0.450551304366917,0.091,0.071,0.00997438213753506,"Auco_NE, Neural cell","OG0006369"
9.23504795841486e-07,0.6979592998153,0.042,0.029,0.0100357266164094,"Auco_NE, Neural cell","OG0005336"
9.26612079826534e-07,0.464732860575922,0.07,0.052,0.0100694934714749,"Auco_NE, Neural cell","OG0005112"
9.53847897704028e-07,2.70923485317129,0.004,0.001,0.0103654651043497,"Auco_NE, Neural cell","OG0007717"
9.55710864159817e-07,0.438985409422996,0.086,0.067,0.0103857099608247,"Auco_NE, Neural cell","OG0013401"
9.56298971409535e-07,0.7516340285694,0.031,0.02,0.0103921009223074,"Auco_NE, Neural cell","OG0005149"
