source,target,weight,source_type,target_type
4202,21065,-254914.62401693568,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,3583,253327.63837995558,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,6660,253222.7727834522,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,25493,-252763.17823412563,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,6660,-250483.45992087832,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,14483,248100.09826916925,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,12656,-248051.07282082076,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4980,10104,-247634.41233349167,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,3583,-247601.36196806715,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,2561,245217.38942632332,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,27051,244021.66030773413,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,28752,-243037.92627394004,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4774,14923,-241739.1493759601,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,14483,-241020.04691375882,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,2561,-239984.53289652747,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4657,14923,239767.07552238277,"SG, Stem/Germline cell","CN, Cnidocytes/Nematocyte cell"
4989,4601,238098.83149515057,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,28188,237110.49489334642,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,27051,-236227.0812571884,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,608,-234905.2203954444,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,4601,-232802.8480236333,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,6264,-230732.51742478687,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4980,13529,-230463.96107944738,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,28188,-230157.52525159338,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,25771,-229144.23795262346,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4980,4064,-228912.4062854263,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4652,512,228055.6874775888,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,3669,226408.07634090076,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,22245,226366.47402160725,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,13561,226002.82923570074,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,1489,225894.0802794552,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,22415,223043.93697116396,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,7015,222157.5492651159,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,22245,-220458.63142982667,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,13561,-219116.9420900011,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,11684,-218882.44295407415,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4980,1484,-218551.5861474814,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,7015,-218447.07073137964,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,28595,218426.73554771082,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,14908,217909.05303127423,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,3669,-217698.42657324497,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,25590,-217568.92278690563,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,28183,217477.6512130159,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,7645,-217269.48907648888,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4774,512,-216745.9369833082,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,18566,216689.68728135625,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,1489,-216505.49128508472,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,22415,-216235.4436279878,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,8625,216195.94042184553,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,28595,-215125.5419791767,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,14908,-214858.03240447337,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4657,512,213963.50249536216,"SG, Stem/Germline cell","CN, Cnidocytes/Nematocyte cell"
4202,28183,-213293.32392967498,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,8625,-212411.81504922613,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,1017,212352.55662938076,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,18566,-210361.8895020159,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,27563,-210267.7814569921,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,3323,209584.15319166164,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,28752,-209066.14625676276,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,24907,208854.32801874634,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,3144,-208630.82358785733,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,2243,208221.0380761328,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,15695,-208099.22945522115,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,6954,207586.74714958554,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,24781,-207386.1066767853,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,17630,207152.5843718364,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,5662,206426.34250983843,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,4734,205847.9323376001,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,1017,-205543.75490511747,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,114,205441.26060550645,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,23603,205413.2003230718,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,3323,-205051.6356147986,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,12656,-204844.1719850128,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4202,6954,-204245.98310921446,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,24907,-204166.35969402333,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,2033,-203445.91396362067,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,2243,-203318.3594785239,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,17630,-202764.09611619564,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,5662,-202724.22951541346,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,23603,-202634.53359562153,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,10104,-202598.82578618723,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,28450,202260.80875925435,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
