source,target,weight,source_type,target_type
4924,4395,913.6307845801772,Epidermal/Muscle,Neural-related
4821,3739,-907.8972116544599,Epidermal/Muscle,Epidermal/Muscle
4924,451,905.6968196755024,Epidermal/Muscle,Epidermal/Muscle
4924,2873,905.2998303057884,Epidermal/Muscle,Epidermal/Muscle
4924,2660,903.8462586753984,Epidermal/Muscle,Epidermal/Muscle
4821,6251,-901.2046760840745,Epidermal/Muscle,Epidermal/Muscle
4821,2796,-900.9080980218505,Epidermal/Muscle,Epidermal/Muscle
4821,3169,-900.0914473461381,Epidermal/Muscle,Epidermal/Muscle
4924,2833,899.7762338790883,Epidermal/Muscle,Epidermal/Muscle
4924,3314,899.3049256017366,Epidermal/Muscle,Neural-related
4984,6448,898.8735635027491,Epidermal/Muscle,Epidermal/Muscle
4821,3673,-898.2967376934134,Epidermal/Muscle,Epidermal/Muscle
4924,6008,897.3630552282809,Epidermal/Muscle,Epidermal/Muscle
4984,3251,895.772175228561,Epidermal/Muscle,Epidermal/Muscle
4955,3251,-895.1512702835474,Epidermal/Muscle,Epidermal/Muscle
4821,452,-895.1227565364597,Epidermal/Muscle,Epidermal/Muscle
4761,2931,891.6423582667213,Epidermal/Muscle,Epidermal/Muscle
4761,2957,889.19179345928,Epidermal/Muscle,Epidermal/Muscle
4984,5999,886.290972063539,Epidermal/Muscle,Epidermal/Muscle
4941,6231,-886.2302391778859,Neural-related,Epidermal/Muscle
4941,2931,-884.8114498313606,Neural-related,Epidermal/Muscle
4821,13,-883.2416544394184,Epidermal/Muscle,Neural-related
4941,2957,-881.5733927552193,Neural-related,Epidermal/Muscle
4924,2934,881.3482630499713,Epidermal/Muscle,Epidermal/Muscle
4955,12,-881.03417647142,Epidermal/Muscle,Epidermal/Muscle
3931,6231,879.1355007937409,Cnidocytes,Epidermal/Muscle
4821,3322,-877.9072094558123,Epidermal/Muscle,Epidermal/Muscle
4955,5999,-873.371560283252,Epidermal/Muscle,Epidermal/Muscle
4955,3613,-873.2116967952135,Epidermal/Muscle,Epidermal/Muscle
4924,7914,873.0125613809233,Epidermal/Muscle,Cnidocytes
4821,4260,-870.6954494097955,Epidermal/Muscle,Cnidocytes
4821,3314,-870.4249583406324,Epidermal/Muscle,Neural-related
4924,3323,867.7373845478944,Epidermal/Muscle,Epidermal/Muscle
4955,2933,-867.4500747309879,Epidermal/Muscle,Epidermal/Muscle
4984,3613,867.0220687481636,Epidermal/Muscle,Epidermal/Muscle
4955,6448,-866.6937198241868,Epidermal/Muscle,Epidermal/Muscle
4924,3959,866.5771888973228,Epidermal/Muscle,Epidermal/Muscle
4761,6231,862.4551433129157,Epidermal/Muscle,Epidermal/Muscle
4821,6008,-861.9733416443011,Epidermal/Muscle,Epidermal/Muscle
4821,7414,-861.7641909060261,Epidermal/Muscle,Cnidocytes
4984,6262,858.7169973765392,Epidermal/Muscle,Neural-related
