"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022626","GO:0022626","cytosolic ribosome",55,0.56223973981337,2.27248321959905,1.10019719139002e-07,0.000368896118273074,0.000367234241462922,1670,"tags=96%, list=30%, signal=68%","XLOC-021430#RS19-MOUSE#Q9CZX8/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-009482#RLA0-CAEEL#Q93572/gene-evm.model.ptg000028l.771#RS18-BRABE#Q8ISP0/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-000137#RS23-ICTPU#Q90YQ1/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-009134#RLA1-RAT#P19944/gene-evm.model.ptg000001l.971#RS24-BOVIN#Q56JU9/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-022823#RS30-MOUSE#P62862/gene-evm.model.ptg000006l.218#RL44-CYBJA#P52809/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-012391#RS11-XENLA#P41115/XLOC-009720#RL30-SPOFR#P58375/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-011597#RL22-RAT#P47198/XLOC-004203#RL3-DROME#O16797/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-010434#RL27A-DICDI#P48160/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-004829#RS9-BOVIN#A6QLG5/XLOC-020338#RS27A-DROME#P15357/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-015898#RS7-XENLA#P02362/XLOC-004062#RL18-MOUSE#P35980/gene-evm.model.ptg000032l.317#RL5-STYCL#Q26481/XLOC-012851#RL12-CAEBR#P61865/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-025719#RS6-HUMAN#P62753/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/XLOC-009374#RL7-CHICK#Q5ZJ56/gene-evm.model.ptg000009l.1138#RS4-CHICK#P47836/XLOC-007982#RL4-BOVIN#Q58DW0/XLOC-022083#RL8-XENTR#Q6PBF0/gene-evm.model.ptg000030l.68#RS16-BOVIN#Q3T0X6/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-009365#RL34-HUMAN#P49207/XLOC-002555#RS5-MOUSE#P97461/XLOC-021290#FMR1-XENTR#Q6GLC9/XLOC-013792#ZN622-HUMAN#Q969S3/gene-evm.model.ptg000021l.199#GCN1-HUMAN#Q92616/gene-evm.model.ptg000005l.773#ABCF3-MOUSE#Q8K268/XLOC-024301#RLA2-BRAFL#O01725/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-022212#LTV1-XENLA#Q4V838/XLOC-004074#RL1DB-SCHPO#Q9UT32/XLOC-004100#RS2-ICTPU#Q90YS3"
"GO:0002181","GO:0002181","cytoplasmic translation",53,0.56765355499021,2.27928073345045,2.78216589247664e-07,0.000466430111873709,0.00046432884447597,1977,"tags=98%, list=36%, signal=64%","XLOC-021430#RS19-MOUSE#Q9CZX8/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-009482#RLA0-CAEEL#Q93572/gene-evm.model.ptg000028l.771#RS18-BRABE#Q8ISP0/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-000137#RS23-ICTPU#Q90YQ1/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-009134#RLA1-RAT#P19944/gene-evm.model.ptg000001l.971#RS24-BOVIN#Q56JU9/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-022823#RS30-MOUSE#P62862/gene-evm.model.ptg000006l.218#RL44-CYBJA#P52809/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-012391#RS11-XENLA#P41115/XLOC-009720#RL30-SPOFR#P58375/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-011597#RL22-RAT#P47198/XLOC-004203#RL3-DROME#O16797/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-010434#RL27A-DICDI#P48160/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-004829#RS9-BOVIN#A6QLG5/XLOC-020338#RS27A-DROME#P15357/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-015898#RS7-XENLA#P02362/XLOC-004062#RL18-MOUSE#P35980/XLOC-012851#RL12-CAEBR#P61865/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-025719#RS6-HUMAN#P62753/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/XLOC-009374#RL7-CHICK#Q5ZJ56/gene-evm.model.ptg000009l.1138#RS4-CHICK#P47836/XLOC-007982#RL4-BOVIN#Q58DW0/XLOC-022083#RL8-XENTR#Q6PBF0/gene-evm.model.ptg000030l.68#RS16-BOVIN#Q3T0X6/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-009365#RL34-HUMAN#P49207/XLOC-002555#RS5-MOUSE#P97461/XLOC-006625#EIF1-MOUSE#P48024/gene-evm.model.ptg000009l.60#RWDD1-HUMAN#Q9H446/XLOC-024301#RLA2-BRAFL#O01725/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-026689#EIF3A-NEMVE#A7SK48/XLOC-004100#RS2-ICTPU#Q90YS3/gene-evm.model.ptg000013l.1124#CY1-MOUSE#Q9D0M3/XLOC-011435#IF4G3-HUMAN#O43432/XLOC-004108#EIF3D-NEMVE#A7SMR1"
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process",58,0.510716248397142,2.12145614689847,1.43628328279724e-06,0.00160528594907305,0.00159805413675441,2729,"tags=100%, list=49%, signal=51%","XLOC-009241#ZC12A-MOUSE#Q5D1E7/XLOC-021430#RS19-MOUSE#Q9CZX8/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009482#RLA0-CAEEL#Q93572/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-009134#RLA1-RAT#P19944/XLOC-022823#RS30-MOUSE#P62862/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-011597#RL22-RAT#P47198/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-010434#RL27A-DICDI#P48160/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-020207#IF4A3-TAEGU#B5FZY7/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-005135#LSM2-HUMAN#Q9Y333/XLOC-014867#DCP1B-PONAB#Q5R413/XLOC-012851#RL12-CAEBR#P61865/XLOC-021636#REN3B-DANRE#F1QNX7/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-025719#RS6-HUMAN#P62753/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/XLOC-022618#CNOT1-XENTR#A0JP85/XLOC-009255#PABPA-DANRE#F1QB54/XLOC-009374#RL7-CHICK#Q5ZJ56/XLOC-022134#2AAB-HUMAN#P30154/XLOC-007982#RL4-BOVIN#Q58DW0/gene-evm.model.ptg000028l.1071#EIF3E-NEMVE#A7RWP6/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-009365#RL34-HUMAN#P49207/gene-evm.model.ptg000023l.526#DDX17-MOUSE#Q501J6/gene-evm.model.ptg000004l.765#SKI8-DANRE#Q6P5M2/XLOC-011051#PRP18-DANRE#Q6GMH0/XLOC-024301#RLA2-BRAFL#O01725/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-001376#CNOT7-BOVIN#Q3ZC01/XLOC-012248#CNOT4-HUMAN#O95628/XLOC-026807#ERF1-POLMI#Q9GR88/XLOC-004100#RS2-ICTPU#Q90YS3/XLOC-001842#ABCE1-HUMAN#P61221/XLOC-018195#CNOT2-MOUSE#Q8C5L3/XLOC-011342#XRN1-HUMAN#Q8IZH2/XLOC-023806#PELO-DROME#P48612/XLOC-015218#RENT2-MOUSE#A2AT37/XLOC-011435#IF4G3-HUMAN#O43432/XLOC-025260#NCBP1-XENTR#Q6DIE2/XLOC-013038#EXOS4-BOVIN#Q7YRA3/XLOC-003206#TUT7-MOUSE#Q5BLK4/XLOC-026724#PAN2-CHICK#Q5F450/XLOC-016444#HBS1L-HUMAN#Q9Y450/XLOC-008002#CSDE1-HUMAN#O75534/XLOC-014798#AUHM-HUMAN#Q13825/XLOC-025344#TTC37-XENLA#Q6DFB8/XLOC-021602#NCBP2-BOMMO#Q1HE01/XLOC-004539#CNOT3-MOUSE#Q8K0V4"
"GO:0006402","GO:0006402","mRNA catabolic process",66,0.457178844296849,1.92972489202575,4.16392224868281e-06,0.00349040782495837,0.00347468353962452,2729,"tags=98%, list=49%, signal=50%","XLOC-009241#ZC12A-MOUSE#Q5D1E7/XLOC-021430#RS19-MOUSE#Q9CZX8/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009482#RLA0-CAEEL#Q93572/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-009134#RLA1-RAT#P19944/XLOC-022823#RS30-MOUSE#P62862/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-011597#RL22-RAT#P47198/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-010434#RL27A-DICDI#P48160/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-020207#IF4A3-TAEGU#B5FZY7/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-005135#LSM2-HUMAN#Q9Y333/XLOC-014867#DCP1B-PONAB#Q5R413/XLOC-012851#RL12-CAEBR#P61865/XLOC-021636#REN3B-DANRE#F1QNX7/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-025719#RS6-HUMAN#P62753/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/XLOC-022618#CNOT1-XENTR#A0JP85/XLOC-009255#PABPA-DANRE#F1QB54/XLOC-009374#RL7-CHICK#Q5ZJ56/XLOC-022134#2AAB-HUMAN#P30154/XLOC-007982#RL4-BOVIN#Q58DW0/gene-evm.model.ptg000028l.1071#EIF3E-NEMVE#A7RWP6/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-009365#RL34-HUMAN#P49207/gene-evm.model.ptg000023l.526#DDX17-MOUSE#Q501J6/XLOC-009517#YTHD2-HUMAN#Q9Y5A9/gene-evm.model.ptg000004l.765#SKI8-DANRE#Q6P5M2/XLOC-011051#PRP18-DANRE#Q6GMH0/XLOC-024301#RLA2-BRAFL#O01725/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-001376#CNOT7-BOVIN#Q3ZC01/XLOC-012248#CNOT4-HUMAN#O95628/XLOC-026807#ERF1-POLMI#Q9GR88/XLOC-004540#ERN1-HUMAN#O75460/XLOC-004100#RS2-ICTPU#Q90YS3/XLOC-001842#ABCE1-HUMAN#P61221/XLOC-018195#CNOT2-MOUSE#Q8C5L3/XLOC-011342#XRN1-HUMAN#Q8IZH2/XLOC-023806#PELO-DROME#P48612/XLOC-015218#RENT2-MOUSE#A2AT37/XLOC-011435#IF4G3-HUMAN#O43432/XLOC-025260#NCBP1-XENTR#Q6DIE2/XLOC-008951#XLOC-008951/XLOC-027117#SUV3-CHICK#Q5ZJT0/XLOC-013038#EXOS4-BOVIN#Q7YRA3/XLOC-003206#TUT7-MOUSE#Q5BLK4/XLOC-026724#PAN2-CHICK#Q5F450/XLOC-016444#HBS1L-HUMAN#Q9Y450/XLOC-008002#CSDE1-HUMAN#O75534/XLOC-014798#AUHM-HUMAN#Q13825/novel-gene-chr8-8441#HS71A-BOVIN#Q27975/XLOC-025344#TTC37-XENLA#Q6DFB8/XLOC-025888#HS71A-BOVIN#Q27975/XLOC-021602#NCBP2-BOMMO#Q1HE01/XLOC-019873#TBP-CHICK#O13270/XLOC-004539#CNOT3-MOUSE#Q8K0V4"
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit",23,0.700218420094649,2.47114140577958,9.99789157741012e-06,0.00670458609181122,0.00667438193515105,1670,"tags=100%, list=30%, signal=70%","XLOC-021430#RS19-MOUSE#Q9CZX8/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-025079#RS17-ICTPU#Q90YQ6/gene-evm.model.ptg000028l.771#RS18-BRABE#Q8ISP0/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-000137#RS23-ICTPU#Q90YQ1/gene-evm.model.ptg000001l.971#RS24-BOVIN#Q56JU9/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-022823#RS30-MOUSE#P62862/XLOC-012391#RS11-XENLA#P41115/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-004829#RS9-BOVIN#A6QLG5/XLOC-020338#RS27A-DROME#P15357/XLOC-015898#RS7-XENLA#P02362/XLOC-025719#RS6-HUMAN#P62753/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/gene-evm.model.ptg000009l.1138#RS4-CHICK#P47836/gene-evm.model.ptg000030l.68#RS16-BOVIN#Q3T0X6/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-002555#RS5-MOUSE#P97461/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-022212#LTV1-XENLA#Q4V838/XLOC-004100#RS2-ICTPU#Q90YS3"
"GO:0090263","GO:0090263","positive regulation of canonical Wnt signaling pathway",25,0.639537188765131,2.25770842363467,3.72978730721315e-05,0.017865681201551,0.0177851963175532,497,"tags=24%, list=9%, signal=22%","XLOC-016870#XLOC-016870/XLOC-016383#XLOC-016383/XLOC-025926#WNT2-DANRE#Q92048/gene-evm.model.ptg000005l.346#WNT4-CHICK#P49337/XLOC-001027#CBP-MOUSE#P45481/novel-gene-chr14-11470#novel-gene-chr14-11470"
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",38,0.547788117465254,2.06371885709992,3.23324958258041e-05,0.017865681201551,0.0177851963175532,1943,"tags=97%, list=35%, signal=64%","XLOC-021430#RS19-MOUSE#Q9CZX8/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009482#RLA0-CAEEL#Q93572/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-009134#RLA1-RAT#P19944/XLOC-022823#RS30-MOUSE#P62862/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-011597#RL22-RAT#P47198/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-010434#RL27A-DICDI#P48160/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-020207#IF4A3-TAEGU#B5FZY7/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-012851#RL12-CAEBR#P61865/XLOC-021636#REN3B-DANRE#F1QNX7/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-025719#RS6-HUMAN#P62753/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/XLOC-009255#PABPA-DANRE#F1QB54/XLOC-009374#RL7-CHICK#Q5ZJ56/XLOC-022134#2AAB-HUMAN#P30154/XLOC-007982#RL4-BOVIN#Q58DW0/gene-evm.model.ptg000028l.1071#EIF3E-NEMVE#A7RWP6/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-009365#RL34-HUMAN#P49207/XLOC-024301#RLA2-BRAFL#O01725/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-026807#ERF1-POLMI#Q9GR88/XLOC-004100#RS2-ICTPU#Q90YS3/XLOC-011342#XRN1-HUMAN#Q8IZH2/XLOC-015218#RENT2-MOUSE#A2AT37/XLOC-011435#IF4G3-HUMAN#O43432/XLOC-025260#NCBP1-XENTR#Q6DIE2"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",29,0.60131195335277,2.15799921149974,5.01590925079226e-05,0.021022929647383,0.0209282213608714,2217,"tags=100%, list=40%, signal=60%","XLOC-009482#RLA0-CAEEL#Q93572/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-009134#RLA1-RAT#P19944/gene-evm.model.ptg000006l.218#RL44-CYBJA#P52809/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-009720#RL30-SPOFR#P58375/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-011597#RL22-RAT#P47198/XLOC-004203#RL3-DROME#O16797/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-010434#RL27A-DICDI#P48160/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-004062#RL18-MOUSE#P35980/gene-evm.model.ptg000032l.317#RL5-STYCL#Q26481/XLOC-012851#RL12-CAEBR#P61865/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-009374#RL7-CHICK#Q5ZJ56/XLOC-007982#RL4-BOVIN#Q58DW0/XLOC-022083#RL8-XENTR#Q6PBF0/XLOC-009365#RL34-HUMAN#P49207/XLOC-021290#FMR1-XENTR#Q6GLC9/XLOC-013792#ZN622-HUMAN#Q969S3/XLOC-024301#RLA2-BRAFL#O01725/XLOC-004074#RL1DB-SCHPO#Q9UT32/XLOC-006052#SURF6-MOUSE#P70279"
"GO:0006413","GO:0006413","translational initiation",47,0.472029250457038,1.85678590148864,0.000109815658614902,0.0409124337039739,0.0407281232126144,2935,"tags=100%, list=53%, signal=47%","XLOC-021430#RS19-MOUSE#Q9CZX8/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009482#RLA0-CAEEL#Q93572/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-009134#RLA1-RAT#P19944/XLOC-022823#RS30-MOUSE#P62862/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-011597#RL22-RAT#P47198/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-010434#RL27A-DICDI#P48160/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-004088#EIF3B-MOUSE#Q8JZQ9/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-012851#RL12-CAEBR#P61865/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-025719#RS6-HUMAN#P62753/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/XLOC-009255#PABPA-DANRE#F1QB54/XLOC-009374#RL7-CHICK#Q5ZJ56/XLOC-009334#EI2BD-MOUSE#Q61749/XLOC-007982#RL4-BOVIN#Q58DW0/gene-evm.model.ptg000028l.1071#EIF3E-NEMVE#A7RWP6/XLOC-026006#EIF3F-HUMAN#O00303/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-009365#RL34-HUMAN#P49207/XLOC-006625#EIF1-MOUSE#P48024/XLOC-026666#EIF3H-NEMVE#A7SA47/XLOC-021613#IF4A2-BOVIN#Q3SZ65/XLOC-004883#EIF3L-NEMVE#A7SDW5/XLOC-024941#EIF3C-XENLA#Q4QR58/XLOC-024301#RLA2-BRAFL#O01725/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-026689#EIF3A-NEMVE#A7SK48/XLOC-004100#RS2-ICTPU#Q90YS3/XLOC-001842#ABCE1-HUMAN#P61221/gene-evm.model.ptg000013l.1124#CY1-MOUSE#Q9D0M3/XLOC-002713#EIF3G-XENTR#Q28CY2/XLOC-011435#IF4G3-HUMAN#O43432/XLOC-004108#EIF3D-NEMVE#A7SMR1/gene-evm.model.ptg000003l.691-1#LAR1B-HUMAN#Q659C4/XLOC-025971#EIF3J-NEMVE#A7RSH7/XLOC-020616#IF5-RAT#Q07205/gene-evm.model.ptg000015l.9-1#IF4G2-BOVIN#Q95L46"
