"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","GO:0002181","cytoplasmic translation",50,-0.614344361265395,-2.58939970863889,4.50610880120929e-09,1.41942427238093e-05,1.40021401907051e-05,1648,"tags=100%, list=39%, signal=61%","XLOC-024301#RLA2-BRAFL#O01725/XLOC-006625#EIF1-MOUSE#P48024/XLOC-013910#RL27-HIPCM#P61359/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-024058#DENR-CHICK#Q5ZJ39/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-000616#RS3-BOVIN#Q3T169/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-009374#RL7-CHICK#Q5ZJ56/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-020338#RS27A-DROME#P15357/XLOC-009482#RLA0-CAEEL#Q93572/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-026645#RL26-BOVIN#P61257/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-002295#RL7A-TAKRU#O57592/XLOC-021468#RS25-BRABE#Q8ISN9/XLOC-009720#RL30-SPOFR#P58375/gene-evm.model.ptg000013l.1124#CY1-MOUSE#Q9D0M3/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-004100#RS2-ICTPU#Q90YS3/XLOC-001860#RS3A-NEMVE#A7S3J7/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-007982#RL4-BOVIN#Q58DW0/gene-evm.model.ptg000022l.166#RL35-XENTR#Q6PBC1/XLOC-012391#RS11-XENLA#P41115/gene-evm.model.ptg000001l.971#RS24-BOVIN#Q56JU9/gene-evm.model.ptg000009l.1138#RS4-CHICK#P47836/XLOC-009134#RLA1-RAT#P19944/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-004203#RL3-DROME#O16797/gene-evm.model.ptg000030l.68#RS16-BOVIN#Q3T0X6/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-011597#RL22-RAT#P47198/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-002342#RL28-MOUSE#P41105/gene-evm.model.ptg000024l.56#RL19-DROME#P36241/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-004140#RSSA-XENTR#Q6P8D1/XLOC-004062#RL18-MOUSE#P35980/gene-evm.model.ptg000028l.771#RS18-BRABE#Q8ISP0/XLOC-001831#RL21A-YEAST#Q02753/XLOC-004108#EIF3D-NEMVE#A7SMR1"
"GO:0022626","GO:0022626","cytosolic ribosome",50,-0.520838279744061,-2.19528097733224,1.39305632620519e-05,0.0219406371377317,0.021643696183988,1648,"tags=98%, list=39%, signal=60%","XLOC-009365#RL34-HUMAN#P49207/XLOC-024301#RLA2-BRAFL#O01725/XLOC-013910#RL27-HIPCM#P61359/XLOC-013216#RS13-BOVIN#Q56JX8/XLOC-011698#RS20-BOVIN#Q3ZBH8/XLOC-000616#RS3-BOVIN#Q3T169/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-009946#RS10-LUMRU#O77302/XLOC-020246#RS20-BOVIN#Q3ZBH8/XLOC-009374#RL7-CHICK#Q5ZJ56/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-020338#RS27A-DROME#P15357/XLOC-009482#RLA0-CAEEL#Q93572/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-026645#RL26-BOVIN#P61257/XLOC-018222#RL10A-BOVIN#Q5E9E6/gene-evm.model.ptg000032l.317#RL5-STYCL#Q26481/XLOC-002295#RL7A-TAKRU#O57592/XLOC-021468#RS25-BRABE#Q8ISN9/XLOC-009720#RL30-SPOFR#P58375/gene-evm.model.ptg000001l.969#RS14-PODCA#Q08699/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-004100#RS2-ICTPU#Q90YS3/XLOC-001860#RS3A-NEMVE#A7S3J7/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-007982#RL4-BOVIN#Q58DW0/gene-evm.model.ptg000022l.166#RL35-XENTR#Q6PBC1/XLOC-012391#RS11-XENLA#P41115/gene-evm.model.ptg000001l.971#RS24-BOVIN#Q56JU9/gene-evm.model.ptg000009l.1138#RS4-CHICK#P47836/XLOC-009134#RLA1-RAT#P19944/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-004203#RL3-DROME#O16797/gene-evm.model.ptg000030l.68#RS16-BOVIN#Q3T0X6/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-011597#RL22-RAT#P47198/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-002342#RL28-MOUSE#P41105/gene-evm.model.ptg000024l.56#RL19-DROME#P36241/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-004140#RSSA-XENTR#Q6P8D1/XLOC-004062#RL18-MOUSE#P35980/gene-evm.model.ptg000028l.771#RS18-BRABE#Q8ISP0/XLOC-001831#RL21A-YEAST#Q02753/gene-evm.model.ptg000005l.773#ABCF3-MOUSE#Q8K268"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",28,-0.61109776603411,-2.27850121762187,3.15048001608159e-05,0.0330800401688567,0.0326323403770978,1648,"tags=100%, list=39%, signal=61%","XLOC-024301#RLA2-BRAFL#O01725/XLOC-013910#RL27-HIPCM#P61359/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-009374#RL7-CHICK#Q5ZJ56/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-005628#RL13A-BOVIN#Q3SZ90/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-009482#RLA0-CAEEL#Q93572/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-026645#RL26-BOVIN#P61257/XLOC-018222#RL10A-BOVIN#Q5E9E6/gene-evm.model.ptg000032l.317#RL5-STYCL#Q26481/XLOC-002295#RL7A-TAKRU#O57592/XLOC-009720#RL30-SPOFR#P58375/XLOC-000352#RL31-HELVI#Q9GP16/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-007982#RL4-BOVIN#Q58DW0/gene-evm.model.ptg000022l.166#RL35-XENTR#Q6PBC1/XLOC-009134#RLA1-RAT#P19944/XLOC-004203#RL3-DROME#O16797/XLOC-012280#RL15-CYPCA#Q7T3N7/XLOC-011597#RL22-RAT#P47198/XLOC-002342#RL28-MOUSE#P41105/gene-evm.model.ptg000024l.56#RL19-DROME#P36241/XLOC-004062#RL18-MOUSE#P35980/XLOC-001831#RL21A-YEAST#Q02753"
