From	To
Q6P1D7	Slx4
O94915	FRYL
Q498J9	mblac1
P22770	CHRNA7
Q14CM0	FRMPD4
Q9NS40	KCNH7
P70627	Folh1
Q2HJ58	PRPS1
A4IHW6	gnpda2
P35559	Ide
P82798	ATRX
B2RRE7	Otud4
Q04656	ATP7A
Q61316	Hspa4
Q01389	BCK1
Q7SXW4	emc3
Q864I7	MC1R
Q2YDQ5	fbxl5
A2XVF7	OsI_016050
Q8V5U0	VCATH
Q91WM3	Rrp9
Q96A58	RERG
D4ACP5	Recql5
O43614	HCRTR2
A0FKN5	SLC26A5
P78798	pex7
Q9WVR8	Men1
P57071	PRDM15
O93430	glra1
P49459	UBE2A
Q86UP6	CUZD1
Q5SQX6	Cyfip2
P51151	RAB9A
P35440	THBS2
Q9YDF8	APE_0955
Q64441	Cyp24a1
P70582	Nup54
P60122	Ruvbl1
Q9GP16	RpL31
Q6PBT8	fgf1
Q8IVG5	SAMD9L
Q8NEN9	PDZD8
Q9NZ63	C9orf78
P97521	Slc25a20
Q659C4	LARP1B
O43772	SLC25A20
D3K0R6	ATP2B4
Q6IE82	Jade3
P57093	Phyh
P21328	pol
Q8WV99	ZFAND2B
Q2YBQ4	ttcA
A2AVA0	Svep1
Q9CZL5	Pcbd2
P46018	PHKA2
Q9CR48	Dram2
A7E300	DLC1
Q8BVQ5	Ppme1
Q5RGV1	impdh1b
Q9H1J7	WNT5B
P51903	PGK
Q92051	cahz
P41759	PGK
Q8WXX0	DNAH7
Q9H920	RNF121
Q4R6M4	TTC29
P08220	GABRB1
Q9WV54	Asah1
Q01062	Pde2a
Q4V7F2	Creld1
Q6IAA8	LAMTOR1
Q8N682	DRAM1
Q5EAD8	LRRC51
Q8K3X3	GMDS
Q9D581	Efcab10
Q6P832	gatm
Q7T3H7	med18
Q80T32	Adgrd1
P61763	STXBP1
Q498D6	Fgfr4
Q18932	cah-2
A7S641	v1g243132
Q4R628	KIF3A
Q86TB3	ALPK2
O35449	Prrt1
P61328	FGF12
Q02040	AKAP17A
P81436	OGT
Q96PQ7	KLHL5
O15173	PGRMC2
Q3ZC01	CNOT7
Q28GW8	melk
Q5F457	WBP4
O94913	PCF11
Q62784	Inpp4a
A5PKL6	GSTCD
Q13423	NNT
A4D7T3	ASZ1
P70704	Atp8a1
O54865	Gucy1b1
Q5XJQ5	exosc9
Q9EQZ5	Ptgr1
Q9QZN3	Fbxo8
Q6AYA1	Gar1
D3YY91	Lrr1
F1N206	DLD
Q14656	TMEM187
Q566M8	rnf150
A0JN61	CRCP
P42345	MTOR
Q2TA46	UBL3
Q8CDF7	Exd1
Q86T90	KIAA1328
O18998	DNASE1
O70372	Tert
Q566X8	dmbx1b
Q96RW7	HMCN1
Q9NBX4	X-element\ORF2
Q8AV57	SDK2
Q9BMN8	ptp-3
O97394	sdk
P10586	PTPRF
P49793	Nup98
P62877	RBX1
Q9VC47	tok
A4GTP4	Elk1
Q9PUQ1	etv4
Q9VCR3	Cow
O43900	PRICKLE3
O60271	SPAG9
Q6GPQ3	mfsd8
Q3UHX0	Nol8
Q64323	Piga
P49139	MAPKAPK2
Q7LHG5	TY3B-I
Q08879	Fbln1
Q90435	pou4f3
P0DX19	IFRD2
Q8K2Y0	Obi1
Q5E9U6	WNT16
F1QXD3	zdhhc15b
Q2KIE4	MCTS1
