,Sub_cell_type,Broad_cell_type
3_CELL3310_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3311_N2,GA_1,"GA, Gastrodermal cell"
3_CELL3313_N4,NE_3,"NE, Neural cell"
3_CELL3314_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3315_N3,GA_2,"GA, Gastrodermal cell"
3_CELL3316_N2,GA_2,"GA, Gastrodermal cell"
3_CELL3320_N2,GA_1,"GA, Gastrodermal cell"
3_CELL3322_N2,GA_1,"GA, Gastrodermal cell"
3_CELL3323_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3324_N2,GA_2,"GA, Gastrodermal cell"
3_CELL3331_N3,NE_1,"NE, Neural cell"
3_CELL3332_N3,GA_1,"GA, Gastrodermal cell"
3_CELL3338_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3340_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3341_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3342_N5,NE_1,"NE, Neural cell"
3_CELL3343_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
3_CELL3345_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3348_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3349_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
3_CELL3351_N2,GA_1,"GA, Gastrodermal cell"
3_CELL3352_N3,GL_2,"GL, Gland cell"
3_CELL3354_N4,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3356_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3357_N5,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3358_N3,GA_2,"GA, Gastrodermal cell"
3_CELL3361_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3363_N3,GA_1,"GA, Gastrodermal cell"
3_CELL3364_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3366_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL3368_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3371_N2,GL_2,"GL, Gland cell"
3_CELL3372_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL3373_N3,NE_1,"NE, Neural cell"
3_CELL3376_N2,NE_3,"NE, Neural cell"
