,Sub_cell_type,Broad_cell_type
3_CELL2493_N3,GL_2,"GL, Gland cell"
3_CELL2494_N2,HA,"HA, Hair cell"
3_CELL2496_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2498_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2499_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2500_N2,NE_4,"NE, Neural cell"
3_CELL2507_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2509_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2513_N3,NE_2,"NE, Neural cell"
3_CELL2515_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2519_N2,SG_4,"SG, Stem/Germline cell"
3_CELL2520_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2523_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2527_N5,GA_2,"GA, Gastrodermal cell"
3_CELL2528_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2530_N2,HA,"HA, Hair cell"
3_CELL2534_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2537_N2,GA_4,"GA, Gastrodermal cell"
3_CELL2542_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2544_N2,GA_2,"GA, Gastrodermal cell"
3_CELL2546_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2548_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2550_N2,SG_3,"SG, Stem/Germline cell"
3_CELL2551_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2554_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2556_N2,GL_2,"GL, Gland cell"
3_CELL2558_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2559_N3,NE_3,"NE, Neural cell"
3_CELL2560_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2561_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2564_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2569_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2570_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2571_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2572_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2579_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2580_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
3_CELL2583_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2584_N4,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2587_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2593_N4,GA_2,"GA, Gastrodermal cell"
3_CELL2595_N2,SG_3,"SG, Stem/Germline cell"
3_CELL2597_N4,GA_3,"GA, Gastrodermal cell"
3_CELL2600_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2602_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2603_N2,GA_2,"GA, Gastrodermal cell"
3_CELL2605_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2606_N2,NE_2,"NE, Neural cell"
3_CELL2607_N1,NE_3,"NE, Neural cell"
3_CELL2609_N2,GA_4,"GA, Gastrodermal cell"
3_CELL2611_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2614_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2619_N2,GA_5,"GA, Gastrodermal cell"
3_CELL2623_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2626_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2627_N4,NE_2,"NE, Neural cell"
3_CELL2628_N4,SG_1,"SG, Stem/Germline cell"
3_CELL2630_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2632_N2,NE_4,"NE, Neural cell"
3_CELL2633_N2,GA_4,"GA, Gastrodermal cell"
3_CELL2636_N3,NE_1,"NE, Neural cell"
3_CELL2639_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2640_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2642_N4,GA_2,"GA, Gastrodermal cell"
3_CELL2643_N3,HA,"HA, Hair cell"
3_CELL2649_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2652_N2,HA,"HA, Hair cell"
3_CELL2654_N4,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2656_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2660_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2662_N2,GL_2,"GL, Gland cell"
3_CELL2663_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2664_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2666_N2,GA_2,"GA, Gastrodermal cell"
3_CELL2667_N2,GA_2,"GA, Gastrodermal cell"
3_CELL2668_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2671_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2672_N4,GA_4,"GA, Gastrodermal cell"
3_CELL2680_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2683_N2,NE_2,"NE, Neural cell"
3_CELL2684_N2,NE_2,"NE, Neural cell"
3_CELL2686_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2688_N4,NE_2,"NE, Neural cell"
3_CELL2689_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2690_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2691_N2,HA,"HA, Hair cell"
3_CELL2694_N2,NE_1,"NE, Neural cell"
3_CELL2696_N2,HA,"HA, Hair cell"
3_CELL2698_N2,NE_2,"NE, Neural cell"
3_CELL2700_N2,SG_1,"SG, Stem/Germline cell"
3_CELL2704_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2705_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2707_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2708_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2713_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2714_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2715_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2716_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2717_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2719_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
3_CELL2720_N2,GA_2,"GA, Gastrodermal cell"
3_CELL2725_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2726_N2,HA,"HA, Hair cell"
3_CELL2730_N2,NE_4,"NE, Neural cell"
3_CELL2734_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2736_N3,NE_2,"NE, Neural cell"
3_CELL2740_N2,NE_2,"NE, Neural cell"
3_CELL2742_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2743_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2745_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2749_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2752_N3,HA,"HA, Hair cell"
3_CELL2753_N3,GA_2,"GA, Gastrodermal cell"
3_CELL2755_N3,GA_3,"GA, Gastrodermal cell"
3_CELL2757_N4,GA_2,"GA, Gastrodermal cell"
3_CELL2758_N3,GA_3,"GA, Gastrodermal cell"
3_CELL2760_N3,SG_2,"SG, Stem/Germline cell"
3_CELL2761_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2763_N3,NE_1,"NE, Neural cell"
3_CELL2766_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2768_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2773_N2,SG_2,"SG, Stem/Germline cell"
3_CELL2777_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2780_N2,HA,"HA, Hair cell"
3_CELL2786_N2,HA,"HA, Hair cell"
3_CELL2787_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2791_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2792_N2,NE_4,"NE, Neural cell"
3_CELL2793_N3,NE_1,"NE, Neural cell"
3_CELL2794_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2798_N4,GA_4,"GA, Gastrodermal cell"
3_CELL2799_N4,GA_4,"GA, Gastrodermal cell"
3_CELL2802_N4,CN_3,"CN, Cnidocytes/Nematocyte cell"
3_CELL2805_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2807_N2,NE_2,"NE, Neural cell"
3_CELL2814_N1,NE_1,"NE, Neural cell"
3_CELL2817_N3,NE_3,"NE, Neural cell"
3_CELL2818_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2820_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2822_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2826_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2829_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2830_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2831_N2,NE_1,"NE, Neural cell"
3_CELL2832_N2,NE_2,"NE, Neural cell"
