"","tSNE_1","tSNE_2"
"1_CELL1_N3",6.52517919877276,-7.62796341997631
"1_CELL2_N2",-32.9787854545554,-10.0936375532527
"1_CELL6_N3",-24.458514784954,-19.7639855819936
"1_CELL7_N2",12.8672794028603,-16.602455893286
"1_CELL8_N3",-21.1843633056127,2.76569350475728
"1_CELL10_N2",10.4785264750659,-8.69271810911557
"1_CELL11_N2",-12.6121032237461,-5.10185794308418
"1_CELL15_N2",-3.95856709481155,11.5975397345942
"1_CELL17_N2",31.6782677260798,-10.9773464188097
"1_CELL19_N2",-5.74483162581917,27.9633145152579
"1_CELL20_N3",-16.0302058197848,-33.2244941241298
"1_CELL23_N4",12.3249056909811,23.7903681561848
"1_CELL25_N3",25.3485679562809,13.3448119260891
"1_CELL29_N4",-16.2104495043201,-34.260682148586
"1_CELL31_N2",-10.9437511369762,-17.9503652804059
"1_CELL32_N2",3.05939754839662,-8.24732414699501
"1_CELL33_N3",-7.53032455941281,-34.9802702347222
"1_CELL37_N4",-11.6187160425503,-22.7391498641789
"1_CELL38_N3",32.6340147726565,-10.1060150342635
"1_CELL41_N1",-7.15543044212714,-11.9898831444272
"1_CELL44_N2",16.1608572593774,-22.5528112511056
"1_CELL46_N2",-6.77877944945165,-27.109205580737
"1_CELL47_N5",1.815306756083,20.7714858381677
"1_CELL48_N2",-2.01532758435241,37.123699069879
"1_CELL52_N4",-10.0426002982264,-16.8782360623984
"1_CELL56_N3",-2.11082915024883,-10.5836688507122
"1_CELL60_N4",-5.28538371667252,-4.44786500493299
"1_CELL61_N3",7.92402234254132,0.997102927254071
"1_CELL62_N3",3.02522958241791,4.1131739686752
"1_CELL63_N3",-2.17078942758706,29.847117813822
"1_CELL69_N2",-28.1272145488208,26.7560088691162
"1_CELL72_N2",6.22831805993123,-6.74661961739214
"1_CELL74_N4",-4.38311442843597,-5.86859132337124
"1_CELL76_N2",-8.71263387603393,-23.4301541990109
"1_CELL77_N2",4.23317236201047,-1.13256808229915
"1_CELL78_N2",-12.8512658419808,-10.9622155865047
"1_CELL82_N3",15.2873600166839,27.521386990829
"1_CELL85_N2",-33.8345589515182,12.9846373859845
"1_CELL88_N3",-17.3300358903319,23.3399251924406
"1_CELL89_N2",16.0873979230864,-24.9839156451522
"1_CELL90_N3",-9.90645313464355,-24.0032872936215
"1_CELL91_N3",-29.8246687034796,26.3869213775438
"1_CELL92_N2",8.07541522730276,-29.7134595616633
"1_CELL100_N4",5.79282384803033,13.2392348818733
"1_CELL101_N4",-3.47877365260372,17.9170253159901
"1_CELL102_N3",3.57659039417853,13.0469628329692
"1_CELL103_N4",1.79753565409526,-5.64133974152887
"1_CELL105_N1",12.1238485120089,-6.40283290621744
"1_CELL108_N4",9.08419960457138,15.0740018341649
"1_CELL116_N3",-10.3281694484283,-19.8853607739239
"1_CELL117_N2",-3.34954897815931,24.7722978090587
