"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"1_CELL244_N3","au1",1867,539,"1",0,"0","0"
"1_CELL248_N4","au1",4121,773,"1",0,"11","11"
"1_CELL249_N2","au1",3383,1046,"1",0,"14","14"
"1_CELL251_N2","au1",2441,775,"1",0,"3","3"
"1_CELL255_N3","au1",2978,738,"1",0,"0","0"
"1_CELL257_N2","au1",3381,1183,"1",0,"17","17"
"1_CELL258_N2","au1",1137,557,"1",0,"3","3"
"1_CELL260_N3","au1",3268,946,"1",0,"4","4"
"1_CELL264_N4","au1",3235,1063,"1",0,"6","6"
"1_CELL266_N3","au1",1164,533,"1",0,"0","0"
"1_CELL268_N3","au1",9484,1073,"1",0,"18","18"
"1_CELL270_N2","au1",1969,517,"1",0,"5","5"
"1_CELL271_N3","au1",1989,639,"1",0,"13","13"
"1_CELL273_N3","au1",1573,621,"1",0,"0","0"
"1_CELL274_N2","au1",2242,765,"1",0,"5","5"
"1_CELL275_N2","au1",3536,757,"1",0,"1","1"
"1_CELL276_N3","au1",3401,906,"1",0,"5","5"
"1_CELL279_N2","au1",1007,458,"1",0,"0","0"
"1_CELL281_N2","au1",3713,1190,"1",0,"3","3"
"1_CELL282_N6","au1",7062,1808,"1",0,"3","3"
"1_CELL283_N4","au1",10439,1939,"1",0,"19","19"
"1_CELL284_N3","au1",1337,620,"1",0,"17","17"
"1_CELL286_N2","au1",1926,640,"1",0,"2","2"
"1_CELL289_N4","au1",6577,1255,"1",0,"7","7"
"1_CELL296_N2","au1",1075,555,"1",0,"6","6"
"1_CELL297_N2","au1",4391,1252,"1",0,"1","1"
"1_CELL301_N3","au1",1991,710,"1",0,"4","4"
"1_CELL304_N3","au1",2674,789,"1",0,"2","2"
"1_CELL305_N3","au1",2308,1010,"1",0,"7","7"
"1_CELL308_N2","au1",3630,810,"1",0,"3","3"
"1_CELL310_N3","au1",7578,1549,"1",0,"1","1"
"1_CELL311_N3","au1",1382,679,"1",0,"0","0"
