"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"1_CELL62952_N1","au1",1430,501,"1",0,"14","14"
"1_CELL62959_N1","au1",1338,649,"1",0,"6","6"
"1_CELL62965_N1","au1",2054,733,"1",0,"5","5"
"1_CELL62980_N1","au1",1146,475,"1",0,"5","5"
"1_CELL62983_N1","au1",1518,532,"1",0,"20","20"
"1_CELL63004_N1","au1",1617,657,"1",0,"9","9"
"1_CELL63005_N1","au1",1863,515,"1",0,"4","4"
"1_CELL63045_N1","au1",2956,884,"1",0,"3","3"
"1_CELL63047_N1","au1",2165,693,"1",0,"2","2"
"1_CELL63049_N1","au1",6996,1636,"1",0,"9","9"
"1_CELL63052_N1","au1",1667,636,"1",0,"2","2"
"1_CELL63064_N1","au1",1867,724,"1",0,"6","6"
"1_CELL63078_N1","au1",1432,529,"1",0,"12","12"
"1_CELL63083_N1","au1",1210,441,"1",0,"0","0"
"1_CELL63087_N1","au1",2076,637,"1",0,"1","1"
"1_CELL63100_N1","au1",1240,539,"1",0,"3","3"
"1_CELL63105_N1","au1",1495,369,"1",0,"11","11"
"1_CELL63114_N1","au1",1820,650,"1",0,"0","0"
"1_CELL63130_N1","au1",2468,657,"1",0,"7","7"
"1_CELL63150_N1","au1",1162,479,"1",0,"1","1"
"1_CELL63151_N1","au1",2472,671,"1",0,"19","19"
"1_CELL63153_N1","au1",2062,646,"1",0,"19","19"
"1_CELL63167_N1","au1",2190,521,"1",0,"16","16"
"1_CELL63168_N1","au1",1951,762,"1",0,"12","12"
"1_CELL63170_N1","au1",1738,530,"1",0,"1","1"
"1_CELL63180_N1","au1",7961,1772,"1",0,"19","19"
"1_CELL63190_N1","au1",1271,480,"1",0,"8","8"
"1_CELL63201_N1","au1",2467,789,"1",0,"7","7"
"1_CELL63232_N1","au1",1162,511,"1",0,"0","0"
"1_CELL63242_N1","au1",1104,581,"1",0,"19","19"
"1_CELL63262_N1","au1",1484,586,"1",0,"12","12"
"1_CELL63272_N1","au1",1083,495,"1",0,"3","3"
"1_CELL63288_N1","au1",2893,913,"1",0,"1","1"
"1_CELL63306_N1","au1",1306,392,"1",0,"5","5"
"1_CELL63307_N1","au1",1685,513,"1",0,"9","9"
"1_CELL63313_N1","au1",1308,560,"1",0,"5","5"
"1_CELL63327_N1","au1",3883,909,"1",0,"19","19"
"1_CELL63328_N1","au1",3434,873,"1",0,"1","1"
"1_CELL63330_N1","au1",1054,502,"1",0,"2","2"
"1_CELL63339_N1","au1",2161,788,"1",0,"6","6"
"1_CELL63345_N1","au1",1657,630,"1",0,"12","12"
"1_CELL63353_N1","au1",1081,485,"1",0,"15","15"
"1_CELL63361_N1","au1",1269,588,"1",0,"6","6"
"1_CELL63427_N1","au1",1376,535,"1",0,"0","0"
"1_CELL63431_N1","au1",3609,1179,"1",0,"6","6"
"1_CELL63434_N1","au1",1498,529,"1",0,"4","4"
"1_CELL63440_N1","au1",1674,506,"1",0,"3","3"
"1_CELL63449_N1","au1",1183,480,"1",0,"0","0"
"1_CELL63455_N1","au1",1401,545,"1",0,"13","13"
"1_CELL63459_N1","au1",2667,794,"1",0,"12","12"
"1_CELL63468_N1","au1",4005,862,"1",0,"11","11"
"1_CELL63471_N1","au1",1452,605,"1",0,"6","6"
"1_CELL63486_N1","au1",1577,667,"1",0,"6","6"
"1_CELL63524_N1","au1",1385,578,"1",0,"20","20"
"1_CELL63525_N1","au1",2516,999,"1",0,"7","7"
"1_CELL63526_N1","au1",1712,513,"1",0,"16","16"
"1_CELL63559_N1","au1",2702,613,"1",0,"15","15"
"1_CELL63573_N1","au1",1109,493,"1",0,"6","6"
"1_CELL63580_N1","au1",1381,556,"1",0,"0","0"
"1_CELL63584_N1","au1",3797,727,"1",0,"18","18"
"1_CELL63590_N1","au1",1697,579,"1",0,"12","12"
"1_CELL63599_N1","au1",1062,513,"1",0,"2","2"
"1_CELL63666_N1","au1",3837,993,"1",0,"2","2"
"1_CELL63669_N1","au1",4390,1053,"1",0,"4","4"
"1_CELL63680_N1","au1",1051,487,"1",0,"6","6"
"1_CELL63688_N1","au1",4453,1305,"1",0,"4","4"
"1_CELL63696_N1","au1",1431,606,"1",0,"1","1"
"1_CELL63713_N1","au1",3352,812,"1",0,"0","0"
"1_CELL63742_N1","au1",2403,891,"1",0,"6","6"
"1_CELL63766_N1","au1",2268,653,"1",0,"0","0"
"1_CELL63771_N1","au1",1665,442,"1",0,"15","15"
"1_CELL63783_N1","au1",1585,612,"1",0,"5","5"
"1_CELL63796_N1","au1",1309,458,"1",0,"1","1"
"1_CELL63808_N1","au1",1029,533,"1",0,"1","1"
"1_CELL63826_N1","au1",1884,733,"1",0,"3","3"
"1_CELL63831_N1","au1",1231,551,"1",0,"3","3"
"1_CELL63854_N1","au1",1093,523,"1",0,"0","0"
"1_CELL63865_N1","au1",2871,783,"1",0,"4","4"
"1_CELL63871_N1","au1",1515,593,"1",0,"6","6"
"1_CELL63873_N1","au1",5908,1506,"1",0,"17","17"
"1_CELL63875_N1","au1",2487,767,"1",0,"5","5"
"1_CELL63885_N1","au1",1484,556,"1",0,"12","12"
"1_CELL63890_N1","au1",1027,475,"1",0,"1","1"
"1_CELL63900_N1","au1",2774,965,"1",0,"12","12"
"1_CELL63905_N1","au1",2082,584,"1",0,"2","2"
"1_CELL63920_N1","au1",1578,633,"1",0,"1","1"
"1_CELL63939_N1","au1",3146,878,"1",0,"8","8"
"1_CELL63954_N1","au1",1211,488,"1",0,"1","1"
"1_CELL63963_N1","au1",2012,619,"1",0,"14","14"
"1_CELL63965_N1","au1",1731,584,"1",0,"5","5"
"1_CELL63966_N1","au1",3060,882,"1",0,"1","1"
"1_CELL63971_N1","au1",1944,733,"1",0,"1","1"
"1_CELL63988_N1","au1",2505,758,"1",0,"18","18"
"1_CELL64012_N1","au1",3032,858,"1",0,"11","11"
"1_CELL64019_N1","au1",1368,464,"1",0,"9","9"
"1_CELL64041_N1","au1",1487,531,"1",0,"1","1"
"1_CELL64056_N1","au1",1247,547,"1",0,"7","7"
"1_CELL64065_N1","au1",1417,564,"1",0,"12","12"
"1_CELL64068_N1","au1",4020,1105,"1",0,"17","17"
"1_CELL64075_N1","au1",1872,750,"1",0,"2","2"
"1_CELL64078_N1","au1",1631,382,"1",0,"4","4"
"1_CELL64082_N1","au1",1402,378,"1",0,"11","11"
"1_CELL64110_N1","au1",7768,1166,"1",0,"18","18"
"1_CELL64126_N1","au1",1701,608,"1",0,"1","1"
"1_CELL64127_N1","au1",1107,510,"1",0,"0","0"
"1_CELL64135_N1","au1",3187,816,"1",0,"5","5"
"1_CELL64138_N1","au1",4738,600,"1",0,"18","18"
"1_CELL64141_N1","au1",5271,1034,"1",0,"3","3"
"1_CELL64157_N1","au1",1302,585,"1",0,"3","3"
"1_CELL64164_N1","au1",5423,1426,"1",0,"4","4"
"1_CELL64185_N1","au1",1711,601,"1",0,"1","1"
"1_CELL64186_N1","au1",1768,615,"1",0,"2","2"
"1_CELL64191_N1","au1",1079,528,"1",0,"0","0"
"1_CELL64198_N1","au1",5713,1193,"1",0,"18","18"
"1_CELL64210_N1","au1",1940,674,"1",0,"9","9"
"1_CELL64215_N1","au1",2874,939,"1",0,"1","1"
"1_CELL64230_N1","au1",1080,497,"1",0,"0","0"
"1_CELL64245_N1","au1",1532,537,"1",0,"1","1"
"1_CELL64251_N1","au1",1226,543,"1",0,"22","22"
"1_CELL64265_N1","au1",1386,490,"1",0,"1","1"
"1_CELL64367_N1","au1",1103,490,"1",0,"2","2"
"1_CELL64382_N1","au1",2047,532,"1",0,"1","1"
"1_CELL64386_N1","au1",1980,740,"1",0,"12","12"
"1_CELL64392_N1","au1",2136,655,"1",0,"14","14"
"1_CELL64399_N1","au1",1122,452,"1",0,"9","9"
"1_CELL64402_N1","au1",2619,687,"1",0,"3","3"
"1_CELL64404_N1","au1",4022,1119,"1",0,"8","8"
"1_CELL64407_N1","au1",4214,719,"1",0,"16","16"
"1_CELL64419_N1","au1",1062,464,"1",0,"5","5"
"1_CELL64437_N1","au1",2914,888,"1",0,"6","6"
"1_CELL64456_N1","au1",1681,542,"1",0,"5","5"
"1_CELL64464_N1","au1",1570,599,"1",0,"17","17"
"1_CELL64512_N1","au1",3199,879,"1",0,"5","5"
"1_CELL64529_N1","au1",2832,781,"1",0,"0","0"
"1_CELL64583_N1","au1",3129,749,"1",0,"0","0"
"1_CELL64600_N1","au1",1922,700,"1",0,"13","13"
"1_CELL64601_N1","au1",1651,597,"1",0,"1","1"
"1_CELL64619_N1","au1",1101,530,"1",0,"3","3"
"1_CELL64640_N1","au1",2257,685,"1",0,"13","13"
"1_CELL64642_N1","au1",3093,678,"1",0,"15","15"
"1_CELL64656_N1","au1",2080,802,"1",0,"6","6"
"1_CELL64663_N1","au1",1920,747,"1",0,"7","7"
"1_CELL64669_N1","au1",1264,555,"1",0,"5","5"
"1_CELL64674_N1","au1",2028,657,"1",0,"8","8"
"1_CELL64676_N1","au1",2374,691,"1",0,"1","1"
"1_CELL64681_N1","au1",1907,638,"1",0,"1","1"
"1_CELL64696_N1","au1",1125,502,"1",0,"12","12"
"1_CELL64698_N1","au1",1631,811,"1",0,"7","7"
"1_CELL64736_N1","au1",3812,836,"1",0,"10","10"
"1_CELL64751_N1","au1",1028,388,"1",0,"19","19"
"1_CELL64756_N1","au1",2213,779,"1",0,"9","9"
"1_CELL64773_N1","au1",1901,664,"1",0,"0","0"
"1_CELL64792_N1","au1",1201,440,"1",0,"8","8"
"1_CELL64814_N1","au1",1893,590,"1",0,"1","1"
"1_CELL64821_N1","au1",1812,661,"1",0,"2","2"
"1_CELL64824_N1","au1",1265,437,"1",0,"11","11"
"1_CELL64827_N1","au1",1039,465,"1",0,"5","5"
"1_CELL64832_N1","au1",2081,664,"1",0,"10","10"
"1_CELL64864_N1","au1",2048,638,"1",0,"14","14"
"1_CELL64871_N1","au1",2712,843,"1",0,"3","3"
"1_CELL64877_N1","au1",2814,773,"1",0,"1","1"
"1_CELL64886_N1","au1",1300,611,"1",0,"12","12"
"1_CELL64889_N1","au1",1179,533,"1",0,"5","5"
"1_CELL64900_N1","au1",2897,732,"1",0,"19","19"
"1_CELL64901_N1","au1",1398,563,"1",0,"1","1"
"1_CELL64912_N1","au1",3496,1004,"1",0,"10","10"
"1_CELL64938_N1","au1",1063,382,"1",0,"18","18"
"1_CELL64954_N1","au1",1459,508,"1",0,"20","20"
"1_CELL64956_N1","au1",1400,498,"1",0,"1","1"
"1_CELL64966_N1","au1",1133,498,"1",0,"17","17"
"1_CELL64980_N1","au1",1643,563,"1",0,"11","11"
"1_CELL65012_N1","au1",2855,768,"1",0,"23","23"
"1_CELL65036_N1","au1",6730,1180,"1",0,"15","15"
"1_CELL65054_N1","au1",3985,954,"1",0,"1","1"
"1_CELL65075_N1","au1",1337,625,"1",0,"1","1"
"1_CELL65078_N1","au1",1063,487,"1",0,"0","0"
"1_CELL65081_N1","au1",1629,560,"1",0,"14","14"
"1_CELL65087_N1","au1",1891,609,"1",0,"2","2"
"1_CELL65100_N1","au1",6107,1473,"1",0,"10","10"
"1_CELL65103_N1","au1",1395,661,"1",0,"3","3"
"1_CELL65106_N1","au1",2071,629,"1",0,"0","0"
"1_CELL65108_N1","au1",3682,1005,"1",0,"3","3"
"1_CELL65122_N1","au1",1489,549,"1",0,"5","5"
"1_CELL65123_N1","au1",1385,647,"1",0,"6","6"
"1_CELL65133_N1","au1",5143,1072,"1",0,"1","1"
"1_CELL65158_N1","au1",1850,515,"1",0,"0","0"
"1_CELL65164_N1","au1",3880,993,"1",0,"23","23"
"1_CELL65166_N1","au1",1151,415,"1",0,"8","8"
"1_CELL65168_N1","au1",6060,712,"1",0,"18","18"
"1_CELL65190_N1","au1",2530,641,"1",0,"0","0"
"1_CELL65209_N1","au1",2805,437,"1",0,"18","18"
"1_CELL65271_N1","au1",1154,484,"1",0,"17","17"
"1_CELL65275_N1","au1",1806,431,"1",0,"18","18"
"1_CELL65279_N1","au1",1405,403,"1",0,"11","11"
"1_CELL65295_N1","au1",1640,572,"1",0,"6","6"
"1_CELL65304_N1","au1",1989,625,"1",0,"1","1"
"1_CELL65321_N1","au1",1300,498,"1",0,"9","9"
"1_CELL65326_N1","au1",1266,605,"1",0,"6","6"
"1_CELL65334_N1","au1",3273,563,"1",0,"5","5"
"1_CELL65357_N1","au1",3457,975,"1",0,"7","7"
"1_CELL65359_N1","au1",2363,736,"1",0,"0","0"
"1_CELL65367_N1","au1",1625,654,"1",0,"0","0"
"1_CELL65370_N1","au1",1763,785,"1",0,"12","12"
"1_CELL65375_N1","au1",2870,811,"1",0,"17","17"
"1_CELL65391_N1","au1",4776,714,"1",0,"16","16"
"1_CELL65404_N1","au1",1982,642,"1",0,"9","9"
"1_CELL65412_N1","au1",1004,511,"1",0,"6","6"
"1_CELL65417_N1","au1",1397,619,"1",0,"3","3"
"1_CELL65424_N1","au1",1913,485,"1",0,"0","0"
"1_CELL65433_N1","au1",1146,559,"1",0,"7","7"
"1_CELL65436_N1","au1",1848,701,"1",0,"5","5"
"1_CELL65438_N1","au1",2197,729,"1",0,"4","4"
"1_CELL65442_N1","au1",1667,646,"1",0,"9","9"
"1_CELL65443_N1","au1",2473,609,"1",0,"8","8"
"1_CELL65444_N1","au1",6406,1104,"1",0,"11","11"
"1_CELL65456_N1","au1",3681,1065,"1",0,"3","3"
"1_CELL65470_N1","au1",1099,481,"1",0,"9","9"
"1_CELL65471_N1","au1",2084,875,"1",0,"7","7"
"1_CELL65487_N1","au1",1007,432,"1",0,"5","5"
"1_CELL65493_N1","au1",1195,520,"1",0,"1","1"
"1_CELL65501_N1","au1",5571,1415,"1",0,"10","10"
"1_CELL65509_N1","au1",2707,998,"1",0,"6","6"
"1_CELL65517_N1","au1",3666,849,"1",0,"4","4"
"1_CELL65531_N1","au1",1891,662,"1",0,"1","1"
"1_CELL65535_N1","au1",1894,670,"1",0,"13","13"
"1_CELL65541_N1","au1",2662,705,"1",0,"5","5"
"1_CELL65543_N1","au1",2337,704,"1",0,"1","1"
"1_CELL65560_N1","au1",1086,392,"1",0,"1","1"
"1_CELL65569_N1","au1",2033,637,"1",0,"13","13"
"1_CELL65585_N1","au1",4300,976,"1",0,"11","11"
"1_CELL65589_N1","au1",1676,771,"1",0,"6","6"
"1_CELL65594_N1","au1",1109,491,"1",0,"3","3"
"1_CELL65603_N1","au1",2851,686,"1",0,"11","11"
"1_CELL65611_N1","au1",2060,770,"1",0,"10","10"
"1_CELL65638_N1","au1",4949,1262,"1",0,"3","3"
"1_CELL65640_N1","au1",1050,475,"1",0,"13","13"
"1_CELL65647_N1","au1",2549,801,"1",0,"5","5"
"1_CELL65658_N1","au1",1915,612,"1",0,"1","1"
"1_CELL65664_N1","au1",4691,726,"1",0,"0","0"
"1_CELL65668_N1","au1",1232,401,"1",0,"17","17"
"1_CELL65682_N1","au1",1073,513,"1",0,"3","3"
"1_CELL65686_N1","au1",3461,1045,"1",0,"3","3"
"1_CELL65694_N1","au1",1381,584,"1",0,"7","7"
"1_CELL65700_N1","au1",3326,732,"1",0,"16","16"
"1_CELL65706_N1","au1",2278,750,"1",0,"2","2"
"1_CELL65708_N1","au1",3724,921,"1",0,"13","13"
"1_CELL65710_N1","au1",1407,418,"1",0,"16","16"
"1_CELL65716_N1","au1",2764,958,"1",0,"7","7"
"1_CELL65729_N1","au1",1432,461,"1",0,"15","15"
"1_CELL65748_N1","au1",3289,957,"1",0,"0","0"
"1_CELL65765_N1","au1",2388,724,"1",0,"1","1"
"1_CELL65768_N1","au1",2962,995,"1",0,"14","14"
"1_CELL65780_N1","au1",2795,761,"1",0,"1","1"
"1_CELL65785_N1","au1",1926,678,"1",0,"3","3"
"1_CELL65786_N1","au1",3196,822,"1",0,"2","2"
"1_CELL65794_N1","au1",1205,524,"1",0,"2","2"
"1_CELL65816_N1","au1",1202,589,"1",0,"5","5"
"1_CELL65834_N1","au1",3348,817,"1",0,"1","1"
"1_CELL65856_N1","au1",2286,680,"1",0,"2","2"
"1_CELL65859_N1","au1",2743,742,"1",0,"5","5"
"1_CELL65885_N1","au1",1615,609,"1",0,"0","0"
"1_CELL65886_N1","au1",2298,686,"1",0,"0","0"
"1_CELL65893_N1","au1",1089,413,"1",0,"6","6"
"1_CELL65896_N1","au1",1207,462,"1",0,"8","8"
"1_CELL65901_N1","au1",1993,561,"1",0,"1","1"
"1_CELL65934_N1","au1",1932,601,"1",0,"14","14"
"1_CELL65942_N1","au1",2468,684,"1",0,"4","4"
"1_CELL65945_N1","au1",4620,1197,"1",0,"22","22"
"1_CELL65952_N1","au1",1065,448,"1",0,"6","6"
"1_CELL65957_N1","au1",1410,589,"1",0,"3","3"
"1_CELL65959_N1","au1",3519,1026,"1",0,"1","1"
"1_CELL65970_N1","au1",3029,806,"1",0,"10","10"
"1_CELL65985_N1","au1",1757,672,"1",0,"2","2"
"1_CELL66007_N1","au1",1784,409,"1",0,"6","6"
"1_CELL66012_N1","au1",1074,514,"1",0,"2","2"
"1_CELL66017_N1","au1",2072,641,"1",0,"14","14"
"1_CELL66023_N1","au1",1941,492,"1",0,"0","0"
"1_CELL66060_N1","au1",1937,606,"1",0,"0","0"
"1_CELL66061_N1","au1",1426,478,"1",0,"4","4"
"1_CELL66062_N1","au1",1195,525,"1",0,"5","5"
"1_CELL66070_N1","au1",4455,1089,"1",0,"1","1"
"1_CELL66089_N1","au1",1858,713,"1",0,"6","6"
"1_CELL66115_N1","au1",3139,973,"1",0,"1","1"
"1_CELL66136_N1","au1",1052,514,"1",0,"3","3"
"1_CELL66154_N1","au1",2336,719,"1",0,"1","1"
"1_CELL66158_N1","au1",1998,627,"1",0,"11","11"
"1_CELL66166_N1","au1",3571,1106,"1",0,"6","6"
"1_CELL66170_N1","au1",10180,1965,"1",0,"9","9"
"1_CELL66190_N1","au1",2595,848,"1",0,"9","9"
"1_CELL66209_N1","au1",1436,592,"1",0,"4","4"
"1_CELL66222_N1","au1",2703,865,"1",0,"3","3"
"1_CELL66240_N1","au1",1976,586,"1",0,"15","15"
"1_CELL66244_N1","au1",1542,560,"1",0,"10","10"
"1_CELL66246_N1","au1",1018,441,"1",0,"0","0"
"1_CELL66249_N1","au1",1465,684,"1",0,"3","3"
"1_CELL66255_N1","au1",1514,554,"1",0,"8","8"
"1_CELL66257_N1","au1",3981,839,"1",0,"18","18"
"1_CELL66278_N1","au1",4218,675,"1",0,"16","16"
"1_CELL66283_N1","au1",1764,755,"1",0,"6","6"
"1_CELL66325_N1","au1",1474,560,"1",0,"10","10"
"1_CELL66339_N1","au1",1131,542,"1",0,"3","3"
"1_CELL66341_N1","au1",4054,1071,"1",0,"9","9"
"1_CELL66360_N1","au1",1425,526,"1",0,"4","4"
"1_CELL66366_N1","au1",3309,542,"1",0,"3","3"
"1_CELL66367_N1","au1",2411,914,"1",0,"6","6"
"1_CELL66393_N1","au1",1087,466,"1",0,"3","3"
"1_CELL66398_N1","au1",3768,781,"1",0,"4","4"
"1_CELL66408_N1","au1",1591,714,"1",0,"7","7"
"1_CELL66419_N1","au1",2764,698,"1",0,"5","5"
"1_CELL66421_N1","au1",1080,534,"1",0,"12","12"
"1_CELL66424_N1","au1",1655,660,"1",0,"21","21"
"1_CELL66432_N1","au1",1785,662,"1",0,"0","0"
"1_CELL66445_N1","au1",1650,581,"1",0,"1","1"
"1_CELL66459_N1","au1",1074,426,"1",0,"9","9"
"1_CELL66469_N1","au1",1882,475,"1",0,"9","9"
"1_CELL66479_N1","au1",1954,666,"1",0,"6","6"
"1_CELL66481_N1","au1",1045,434,"1",0,"1","1"
"1_CELL66488_N1","au1",2585,866,"1",0,"6","6"
"1_CELL66491_N1","au1",11363,943,"1",0,"18","18"
"1_CELL66504_N1","au1",1206,559,"1",0,"0","0"
"1_CELL66507_N1","au1",1775,670,"1",0,"15","15"
"1_CELL66521_N1","au1",2469,709,"1",0,"12","12"
"1_CELL66536_N1","au1",2789,746,"1",0,"1","1"
"1_CELL66538_N1","au1",1655,647,"1",0,"3","3"
"1_CELL66561_N1","au1",1804,533,"1",0,"16","16"
"1_CELL66562_N1","au1",4185,1005,"1",0,"1","1"
"1_CELL66564_N1","au1",3149,1013,"1",0,"0","0"
"1_CELL66571_N1","au1",5490,1289,"1",0,"1","1"
"1_CELL66573_N1","au1",2444,829,"1",0,"5","5"
"1_CELL66585_N1","au1",2283,686,"1",0,"1","1"
"1_CELL66602_N1","au1",1568,512,"1",0,"17","17"
"1_CELL66606_N1","au1",2126,658,"1",0,"0","0"
"1_CELL66611_N1","au1",2378,760,"1",0,"11","11"
"1_CELL66617_N1","au1",1275,598,"1",0,"5","5"
"1_CELL66627_N1","au1",2027,804,"1",0,"6","6"
"1_CELL66628_N1","au1",1140,497,"1",0,"14","14"
"1_CELL66635_N1","au1",2509,830,"1",0,"16","16"
"1_CELL66642_N1","au1",6621,1341,"1",0,"1","1"
"1_CELL66648_N1","au1",1055,526,"1",0,"12","12"
"1_CELL66669_N1","au1",1743,506,"1",0,"16","16"
"1_CELL66679_N1","au1",3008,830,"1",0,"1","1"
"1_CELL66686_N1","au1",2575,746,"1",0,"8","8"
"1_CELL66696_N1","au1",3045,873,"1",0,"2","2"
"1_CELL66720_N1","au1",2531,806,"1",0,"10","10"
"1_CELL66739_N1","au1",2290,797,"1",0,"4","4"
"1_CELL66740_N1","au1",1008,502,"1",0,"0","0"
"1_CELL66754_N1","au1",1503,545,"1",0,"13","13"
"1_CELL66757_N1","au1",3840,1118,"1",0,"5","5"
"1_CELL66788_N1","au1",2321,803,"1",0,"2","2"
"1_CELL66790_N1","au1",1575,465,"1",0,"5","5"
"1_CELL66793_N1","au1",2189,563,"1",0,"10","10"
"1_CELL66815_N1","au1",1044,460,"1",0,"0","0"
"1_CELL66823_N1","au1",1417,610,"1",0,"3","3"
"1_CELL66833_N1","au1",1495,651,"1",0,"4","4"
"1_CELL66834_N1","au1",1878,648,"1",0,"11","11"
"1_CELL66838_N1","au1",1357,583,"1",0,"9","9"
"1_CELL66843_N1","au1",2360,647,"1",0,"8","8"
"1_CELL66893_N1","au1",1666,692,"1",0,"19","19"
"1_CELL66896_N1","au1",1193,476,"1",0,"1","1"
"1_CELL66900_N1","au1",1124,661,"1",0,"7","7"
"1_CELL66907_N1","au1",1639,647,"1",0,"12","12"
"1_CELL66916_N1","au1",1032,467,"1",0,"0","0"
"1_CELL66926_N1","au1",1821,694,"1",0,"5","5"
"1_CELL66945_N1","au1",1153,517,"1",0,"12","12"
"1_CELL66960_N1","au1",2337,632,"1",0,"1","1"
"1_CELL66965_N1","au1",9501,1755,"1",0,"6","6"
"1_CELL66976_N1","au1",1285,430,"1",0,"8","8"
"1_CELL66977_N1","au1",5499,1132,"1",0,"5","5"
"1_CELL66994_N1","au1",1387,586,"1",0,"2","2"
"1_CELL66997_N1","au1",1960,750,"1",0,"4","4"
"1_CELL67003_N1","au1",4634,1086,"1",0,"20","20"
"1_CELL67010_N1","au1",1342,539,"1",0,"0","0"
"1_CELL67015_N1","au1",3635,1257,"1",0,"11","11"
"1_CELL67016_N1","au1",1196,523,"1",0,"3","3"
"1_CELL67021_N1","au1",9820,1733,"1",0,"16","16"
"1_CELL67031_N1","au1",6465,1069,"1",0,"4","4"
"1_CELL67032_N1","au1",1015,488,"1",0,"3","3"
"1_CELL67034_N1","au1",3636,732,"1",0,"15","15"
"1_CELL67045_N1","au1",1118,511,"1",0,"0","0"
"1_CELL67059_N1","au1",1655,687,"1",0,"1","1"
"1_CELL67063_N1","au1",2302,736,"1",0,"21","21"
"1_CELL67066_N1","au1",1295,463,"1",0,"11","11"
"1_CELL67077_N1","au1",2379,720,"1",0,"5","5"
"1_CELL67082_N1","au1",1754,611,"1",0,"5","5"
"1_CELL67084_N1","au1",1984,513,"1",0,"17","17"
"1_CELL67092_N1","au1",4015,1198,"1",0,"2","2"
"1_CELL67101_N1","au1",2275,767,"1",0,"0","0"
"1_CELL67104_N1","au1",2364,741,"1",0,"2","2"
"1_CELL67117_N1","au1",3288,903,"1",0,"3","3"
"1_CELL67131_N1","au1",1272,507,"1",0,"9","9"
"1_CELL67147_N1","au1",2349,614,"1",0,"0","0"
"1_CELL67154_N1","au1",1556,600,"1",0,"10","10"
"1_CELL67165_N1","au1",3997,893,"1",0,"11","11"
"1_CELL67182_N1","au1",3330,539,"1",0,"15","15"
"1_CELL67226_N1","au1",1819,691,"1",0,"2","2"
"1_CELL67231_N1","au1",1067,498,"1",0,"5","5"
"1_CELL67250_N1","au1",1090,529,"1",0,"12","12"
"1_CELL67257_N1","au1",1092,369,"1",0,"19","19"
"1_CELL67278_N1","au1",5677,1015,"1",0,"5","5"
"1_CELL67290_N1","au1",2337,831,"1",0,"8","8"
"1_CELL67314_N1","au1",3411,929,"1",0,"13","13"
"1_CELL67348_N1","au1",2960,505,"1",0,"18","18"
"1_CELL67355_N1","au1",2811,689,"1",0,"0","0"
"1_CELL67358_N1","au1",2662,702,"1",0,"11","11"
"1_CELL67381_N1","au1",1421,564,"1",0,"9","9"
"1_CELL67393_N1","au1",2544,793,"1",0,"17","17"
"1_CELL67413_N1","au1",5512,1278,"1",0,"1","1"
"1_CELL67414_N1","au1",4016,923,"1",0,"1","1"
"1_CELL67423_N1","au1",2476,640,"1",0,"0","0"
"1_CELL67459_N1","au1",1216,560,"1",0,"21","21"
"1_CELL67466_N1","au1",1774,728,"1",0,"14","14"
"1_CELL67467_N1","au1",2923,850,"1",0,"16","16"
"1_CELL67469_N1","au1",1251,584,"1",0,"0","0"
"1_CELL67498_N1","au1",1145,450,"1",0,"14","14"
"1_CELL67533_N1","au1",1048,430,"1",0,"3","3"
"1_CELL67541_N1","au1",1889,595,"1",0,"3","3"
"1_CELL67544_N1","au1",2177,499,"1",0,"0","0"
"1_CELL67559_N1","au1",5045,1205,"1",0,"1","1"
"1_CELL67562_N1","au1",3551,1129,"1",0,"5","5"
"1_CELL67563_N1","au1",1163,554,"1",0,"10","10"
"1_CELL67587_N1","au1",2290,947,"1",0,"6","6"
"1_CELL67637_N1","au1",1275,598,"1",0,"0","0"
"1_CELL67656_N1","au1",1188,425,"1",0,"19","19"
"1_CELL67664_N1","au1",1350,583,"1",0,"17","17"
"1_CELL67679_N1","au1",1008,519,"1",0,"10","10"
"1_CELL67689_N1","au1",7226,1433,"1",0,"19","19"
"1_CELL67704_N1","au1",1188,389,"1",0,"3","3"
"1_CELL67706_N1","au1",3181,779,"1",0,"1","1"
"1_CELL67764_N1","au1",2160,737,"1",0,"13","13"
"1_CELL67767_N1","au1",2179,720,"1",0,"3","3"
"1_CELL67771_N1","au1",1888,642,"1",0,"9","9"
"1_CELL67773_N1","au1",1564,625,"1",0,"2","2"
"1_CELL67777_N1","au1",1877,886,"1",0,"7","7"
"1_CELL67783_N1","au1",1854,640,"1",0,"0","0"
"1_CELL67810_N1","au1",3000,849,"1",0,"18","18"
"1_CELL67823_N1","au1",3018,809,"1",0,"1","1"
"1_CELL67824_N1","au1",1126,503,"1",0,"4","4"
"1_CELL67825_N1","au1",1182,457,"1",0,"11","11"
"1_CELL67843_N1","au1",2294,523,"1",0,"11","11"
"1_CELL67857_N1","au1",1665,516,"1",0,"1","1"
"1_CELL67878_N1","au1",2234,841,"1",0,"6","6"
"1_CELL67882_N1","au1",2064,770,"1",0,"3","3"
"1_CELL67886_N1","au1",3646,933,"1",0,"3","3"
"1_CELL67894_N1","au1",1639,675,"1",0,"8","8"
"1_CELL67901_N1","au1",2401,780,"1",0,"1","1"
"1_CELL67908_N1","au1",2338,827,"1",0,"1","1"
"1_CELL67912_N1","au1",1013,475,"1",0,"2","2"
"1_CELL67914_N1","au1",1028,456,"1",0,"1","1"
