"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term","Ont"
"GO:0098727","GO:0098727","14/222","119/9466",0.117647058823529,5.01642819289878,6.83257164356955,6.77195241077074e-07,4.54241730937853e-05,3.58063556618081e-05,"HoiH23-PlH23-000960/HoiH23-PlH23-007865/HoiH23-PlH23-009395/HoiH23-PlH23-000647/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-008543/HoiH23-PlH23-000593/HoiH23-PlH23-009657/HoiH23-PlH23-005022/HoiH23-PlH23-004228/HoiH23-PlH23-009586/HoiH23-PlH23-006951/HoiH23-PlH23-007573",14,"maintenance of cell number","BP"
"GO:0030856","GO:0030856","8/222","34/9466",0.235294117647059,10.0328563857976,8.17653868534796,8.65910889438282e-07,5.59314293029764e-05,4.40888741367016e-05,"HoiH23-PlH23-000096/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-000960/HoiH23-PlH23-008308/HoiH23-PlH23-010696/HoiH23-PlH23-004136/HoiH23-PlH23-001895",8,"regulation of epithelial cell differentiation","BP"
"GO:0035326","GO:0035326","8/222","34/9466",0.235294117647059,10.0328563857976,8.17653868534796,8.65910889438282e-07,5.59314293029764e-05,4.40888741367016e-05,"HoiH23-PlH23-010243/HoiH23-PlH23-002456/HoiH23-PlH23-004895/HoiH23-PlH23-006564/HoiH23-PlH23-010696/HoiH23-PlH23-010430/HoiH23-PlH23-009657/HoiH23-PlH23-002814",8,NA,NA
"GO:0090596","GO:0090596","19/222","223/9466",0.0852017937219731,3.63297378095584,6.16594032758737,1.12823872712433e-06,7.15508487310848e-05,5.64011398133732e-05,"HoiH23-PlH23-000096/HoiH23-PlH23-009381/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-007275/HoiH23-PlH23-007865/HoiH23-PlH23-008308/HoiH23-PlH23-010696/HoiH23-PlH23-001269/HoiH23-PlH23-009723/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-000844/HoiH23-PlH23-001639/HoiH23-PlH23-002814",19,"sensory organ morphogenesis","BP"
"GO:0007611","GO:0007611","18/222","206/9466",0.087378640776699,3.72579375491997,6.12954075512742,1.51792920946104e-06,9.45453050464307e-05,7.45269002840648e-05,"HoiH23-PlH23-000554/HoiH23-PlH23-002591/HoiH23-PlH23-008608/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-007275/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-008331/HoiH23-PlH23-009723/HoiH23-PlH23-002206/HoiH23-PlH23-007657/HoiH23-PlH23-006938/HoiH23-PlH23-004067/HoiH23-PlH23-008522/HoiH23-PlH23-009601/HoiH23-PlH23-002814/HoiH23-PlH23-000547",18,"learning or memory","BP"
"GO:0035282","GO:0035282","15/222","150/9466",0.1,4.26396396396396,6.24429011885352,2.19364615163089e-06,0.000134235750471729,0.000105813550287348,"HoiH23-PlH23-000554/HoiH23-PlH23-009379/HoiH23-PlH23-010243/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-007275/HoiH23-PlH23-004895/HoiH23-PlH23-008308/HoiH23-PlH23-008331/HoiH23-PlH23-001141/HoiH23-PlH23-001616/HoiH23-PlH23-005936/HoiH23-PlH23-007440/HoiH23-PlH23-011060/HoiH23-PlH23-005022",15,"segmentation","BP"
"GO:0070888","GO:0070888","6/222","18/9466",0.333333333333333,14.2132132132132,8.69524015217223,2.28071370021981e-06,0.000136920579805317,0.000107929911411,"HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009657/HoiH23-PlH23-010122",6,"E-box binding","MF"
"GO:0030855","GO:0030855","24/222","351/9466",0.0683760683760684,2.91553091553092,5.66723491757187,2.31603044968856e-06,0.000136920579805317,0.000107929911411,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002591/HoiH23-PlH23-000960/HoiH23-PlH23-009413/HoiH23-PlH23-007275/HoiH23-PlH23-007865/HoiH23-PlH23-009395/HoiH23-PlH23-004895/HoiH23-PlH23-000647/HoiH23-PlH23-001141/HoiH23-PlH23-001616/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-003907/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-009657/HoiH23-PlH23-009589/HoiH23-PlH23-005437/HoiH23-PlH23-002132/HoiH23-PlH23-002814",24,"epithelial cell differentiation","BP"
"GO:0035270","GO:0035270","10/222","65/9466",0.153846153846154,6.55994455994456,6.97022730534984,2.38125754954394e-06,0.000138430438880154,0.000109120082796645,"HoiH23-PlH23-005230/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-004895/HoiH23-PlH23-006563/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-002679",10,"endocrine system development","BP"
"GO:0003729","GO:0003729","16/222","172/9466",0.0930232558139535,3.96647810601299,6.08430343202072,2.61249700177389e-06,0.000149383435117825,0.000117753963220594,"HoiH23-PlH23-000647/HoiH23-PlH23-001141/HoiH23-PlH23-001616/HoiH23-PlH23-006584/HoiH23-PlH23-002904/HoiH23-PlH23-003907/HoiH23-PlH23-008395/HoiH23-PlH23-003481/HoiH23-PlH23-006569/HoiH23-PlH23-007492/HoiH23-PlH23-007493/HoiH23-PlH23-003281/HoiH23-PlH23-008809/HoiH23-PlH23-005895/HoiH23-PlH23-006094/HoiH23-PlH23-009477",16,"mRNA binding","MF"
"GO:0021517","GO:0021517","6/222","19/9466",0.315789473684211,13.4651493598862,8.42818689349987,3.26837425917725e-06,0.000183872409935649,0.000144940467996112,"HoiH23-PlH23-000960/HoiH23-PlH23-004895/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008308/HoiH23-PlH23-006133",6,"ventral spinal cord development","BP"
"GO:0048598","GO:0048598","26/222","411/9466",0.0632603406326034,2.69739812805506,5.45214290445123,3.63318034415438e-06,0.000201151318101754,0.000158560853114975,"HoiH23-PlH23-000096/HoiH23-PlH23-002591/HoiH23-PlH23-005230/HoiH23-PlH23-009381/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-007275/HoiH23-PlH23-007865/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006564/HoiH23-PlH23-008308/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000593/HoiH23-PlH23-006101/HoiH23-PlH23-002814/HoiH23-PlH23-011225/HoiH23-PlH23-003095/HoiH23-PlH23-009955/HoiH23-PlH23-004980",26,"embryonic morphogenesis","BP"
"GO:0002065","GO:0002065","17/222","199/9466",0.085427135678392,3.64258228077324,5.83837926017397,4.0776867168582e-06,0.000222233926068772,0.000175179567507132,"HoiH23-PlH23-000096/HoiH23-PlH23-000960/HoiH23-PlH23-009413/HoiH23-PlH23-007275/HoiH23-PlH23-007865/HoiH23-PlH23-004895/HoiH23-PlH23-001141/HoiH23-PlH23-001616/HoiH23-PlH23-006133/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-003907/HoiH23-PlH23-003125/HoiH23-PlH23-009657/HoiH23-PlH23-009589/HoiH23-PlH23-005437/HoiH23-PlH23-002814",17,"columnar/cuboidal epithelial cell differentiation","BP"
"GO:0031175","GO:0031175","26/222","416/9466",0.0625,2.66497747747748,5.38192407580047,4.53092258575185e-06,0.000243136276601576,0.00019165619099569,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-004570/HoiH23-PlH23-008608/HoiH23-PlH23-000960/HoiH23-PlH23-001303/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006563/HoiH23-PlH23-008308/HoiH23-PlH23-008331/HoiH23-PlH23-001141/HoiH23-PlH23-007440/HoiH23-PlH23-011060/HoiH23-PlH23-004136/HoiH23-PlH23-010430/HoiH23-PlH23-002206/HoiH23-PlH23-003125/HoiH23-PlH23-004593/HoiH23-PlH23-005022/HoiH23-PlH23-001872/HoiH23-PlH23-005437/HoiH23-PlH23-002814/HoiH23-PlH23-006839",26,"neuron projection development","BP"
"GO:0007350","GO:0007350","12/222","103/9466",0.116504854368932,4.96772500655996,6.27421639509854,4.79710855745549e-06,0.000253519918915224,0.000199841268773106,"HoiH23-PlH23-009379/HoiH23-PlH23-010243/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-007275/HoiH23-PlH23-004895/HoiH23-PlH23-001141/HoiH23-PlH23-001616/HoiH23-PlH23-005936/HoiH23-PlH23-007440/HoiH23-PlH23-011060/HoiH23-PlH23-005022",12,"blastoderm segmentation","BP"
